GMfas1			EXT		
t	x	y	t	x	y
7.128647215	30.15701206	8.942507002	7.128647215	20.05076809	29.88381856
7.183908046	30.18656806	8.938321099	7.183908046	20.05007382	29.88395372
7.239168877	30.22101247	8.9396662	7.239168877	20.04837859	29.88418589
7.294429708	30.24884545	8.944985192	7.294429708	20.04819324	29.88411035
7.349690539	30.29497028	8.942336838	7.349690539	20.04656468	29.88408599
7.40495137	30.33530714	8.942683281	7.40495137	20.0468686	29.88432534
7.460212202	30.38625277	8.949251069	7.460212202	20.04958882	29.88414461
7.515473033	30.42768719	8.9448323	7.515473033	20.04611819	29.884314
7.570733864	30.43639881	8.943252981	7.570733864	20.04628605	29.88434929
7.625994695	30.48233988	8.946196093	7.625994695	20.04806825	29.8844275
7.681255526	30.55257123	8.946600437	7.681255526	20.04782837	29.88445878
7.736516357	30.55485989	8.947190992	7.736516357	20.04757507	29.88413603
7.791777188	30.56655159	8.952916732	7.791777188	20.04740183	29.88445032
7.847038019	30.61442733	8.949294373	7.847038019	20.04953635	29.88430367
7.902298851	30.64587168	8.94682186	7.902298851	20.04880232	29.8843763
7.957559682	30.67088008	8.943519758	7.957559682	20.04885265	29.88417811
8.012820513	30.73224978	8.947132305	8.012820513	20.05033569	29.88435243
8.068081344	30.75844067	8.941776456	8.068081344	20.05272416	29.88415698
8.123342175	30.78897266	8.944775187	8.123342175	20.05307106	29.88427106
8.178603006	30.82193503	8.946079704	8.178603006	20.05172982	29.88443625
8.233863837	30.83967042	8.94517032	8.233863837	20.05326044	29.8843085
8.289124668	30.85819297	8.944634718	8.289124668	20.05096942	29.88404954
8.3443855	30.88679867	8.941409261	8.3443855	20.04933377	29.88435428
8.399646331	30.93301169	8.94512174	8.399646331	20.05073761	29.88422616
8.454907162	30.96729138	8.940279351	8.454907162	20.05055407	29.88428826
8.510167993	31.01593522	8.944075789	8.510167993	20.04947252	29.88378762
8.565428824	31.06665715	8.941583039	8.565428824	20.05103411	29.88408618
8.620689655	31.08427299	8.943933088	8.620689655	20.0521822	29.88397223
8.675950486	31.09197824	8.942646963	8.675950486	20.05237018	29.8839846
