SOLfas			SOLext		
t	x	y	t	x	y
4.0531866120	14.8111044000	10.2606724500	4.0531866120	40.5257725000	16.9738609300
4.0715268230	14.7898340800	10.2618906400	4.0715268230	40.5290943000	16.9742060200
4.0898670330	14.7763616800	10.2639472500	4.0898670330	40.5256702000	16.9741138300
4.1082072440	14.7493205000	10.2665261900	4.1082072440	40.5278599000	16.9738658900
4.1265474550	14.7036969100	10.2665208900	4.1265474550	40.5256283700	16.9752674600
4.1448876660	14.6611958200	10.2677441300	4.1448876660	40.5304610000	16.9739201100
4.1632278770	14.6494929600	10.2669851800	4.1632278770	40.5278715400	16.9749801000
4.1815680880	14.6196280500	10.2663822400	4.1815680880	40.5314083000	16.9747647400
4.1999082990	14.5936802000	10.2672885000	4.1999082990	40.5317129700	16.9739744300
4.2182485100	14.5820454100	10.2687421300	4.2182485100	40.5319980800	16.9737432600
4.2365887210	14.5774762000	10.2704404200	4.2365887210	40.5361345600	16.9730083100
4.2549289320	14.5842667100	10.2700131300	4.2549289320	40.5352130600	16.9723593500
4.2732691430	14.5752621200	10.2713444300	4.2732691430	40.5399818700	16.9723633400
4.2916093540	14.5476093300	10.2704379700	4.2916093540	40.5370980300	16.9733013400
4.3099495640	14.4987141200	10.2716728800	4.3099495640	40.5374652100	16.9729639200
4.3282897750	14.4503564000	10.2707912500	4.3282897750	40.5375718000	16.9724193500
4.3466299860	14.4335588700	10.2699709200	4.3466299860	40.5359747400	16.9728827600
4.3649701970	14.3932924700	10.2697177400	4.3649701970	40.5331377700	16.9731070400
4.3833104080	14.3718295300	10.2715911400	4.3833104080	40.5315644900	16.9748519200
4.4016506190	14.3534119700	10.2706923400	4.4016506190	40.5322254700	16.9749286800
4.4199908300	14.2919988900	10.2678448900	4.4199908300	40.5335923000	16.9754753000
4.4383310410	14.2453221500	10.2678441400	4.4383310410	40.5319314100	16.9755889600
4.4566712520	14.1786224800	10.2658508700	4.4566712520	40.5297923400	16.9752578300
4.4750114630	14.1064307400	10.2642786800	4.4750114630	40.5285623200	16.9763972200
4.4933516740	14.0626857600	10.2656268600	4.4933516740	40.5299038100	16.9756291000
4.5116918840	14.0521962700	10.2667544800	4.5116918840	40.5259320200	16.9765458100
4.5300320950	14.0188228300	10.2657117600	4.5300320950	40.5199164600	16.9757211500
4.5483723060	13.9940320300	10.2674591300	4.5483723060	40.5265150600	16.9753163100
4.5667125170	13.9499942700	10.2660405300	4.5667125170	40.5296740700	16.9735716400
4.5850527280	13.9342168900	10.2672609100	4.5850527280	40.5231761600	16.9737102500
4.6033929390	13.9474123100	10.2698092600	4.6033929390	40.5268572200	16.9736581200
4.6217331500	13.9290801900	10.2702399600	4.6217331500	40.5276716500	16.9732838700
4.6400733610	13.9091511700	10.2716794600	4.6400733610	40.5265639100	16.9731194200
4.6584135720	13.9061380300	10.2717056600	4.6584135720	40.5214945600	16.9718913300
4.6767537830	13.9027601800	10.2712561300	4.6767537830	40.5263319400	16.9726792400
4.6950939940	13.8894887800	10.2716580900	4.6950939940	40.5307757300	16.9720312100
4.7134342040	13.8613726800	10.2716062500	4.7134342040	40.5290656200	16.9715651800
4.7317744150	13.8580575800	10.2704362800	4.7317744150	40.5296405700	16.9716621400
4.7501146260	13.8646081300	10.2716004600	4.7501146260	40.5334193200	16.9706677400
4.7684548370	13.8713514500	10.2719645200	4.7684548370	40.5324700400	16.9708744100
4.7867950480	13.8631608300	10.2714411700	4.7867950480	40.5302723800	16.9706702000
4.8051352590	13.8419472800	10.2719874900	4.8051352590	40.5345636700	16.9707066400
4.8234754700	13.8377690100	10.2719542200	4.8234754700	40.5284180700	16.9717554300
4.8418156810	13.8303374800	10.2725149100	4.8418156810	40.5299280800	16.9704909700
4.8601558920	13.8407133500	10.2729237400	4.8601558920	40.5305279800	16.9711392400
