CALbump			CALext2		
t	x	y	t	x	y
6.795827124	17.63005838	7.913501694	6.795827124	0.2528624954	15.05563632
6.855439642	17.67731398	7.906348166	6.855439642	0.2564441821	15.05541325
6.915052161	17.65533407	7.915744875	6.915052161	0.256559571	15.05548749
6.97466468	17.67180843	7.912175239	6.97466468	0.2629372961	15.0549777
7.034277198	17.68883872	7.916353119	7.034277198	0.2593531493	15.05507021
7.093889717	17.69409689	7.917811686	7.093889717	0.2585277917	15.05533348
7.153502235	17.70249507	7.917537288	7.153502235	0.2588606577	15.05525626
7.213114754	17.71176658	7.918008262	7.213114754	0.2566005704	15.05530587
7.272727273	17.72269956	7.917208086	7.272727273	0.2575155967	15.0552093
7.332339791	17.72985577	7.913324622	7.332339791	0.2573718194	15.05561437
7.39195231	17.73720544	7.903352103	7.39195231	0.2583668913	15.05530163
7.451564829	17.74352839	7.907153085	7.451564829	0.2591145935	15.05542043
7.511177347	17.73891408	7.902169423	7.511177347	0.2578211233	15.05545806
7.570789866	17.71861758	7.883893317	7.570789866	0.2578118864	15.0554452
7.630402385	17.71818948	7.870456044	7.630402385	0.256376877	15.05534336
7.690014903	17.71820571	7.862378208	7.690014903	0.2585433247	15.05535614
7.749627422	17.71735112	7.860594675	7.749627422	0.2571633399	15.05548007
7.80923994	17.71800971	7.857991139	7.80923994	0.2560012423	15.05523525
7.868852459	17.71169816	7.85552138	7.868852459	0.2545659325	15.05529984
7.928464978	17.7123145	7.853378994	7.928464978	0.2558200384	15.0556206
7.988077496	17.7217315	7.849965027	7.988077496	0.2562703275	15.05541342
8.047690015	17.72488274	7.847552937	8.047690015	0.2565300965	15.05542935
8.107302534	17.72874183	7.844121444	8.107302534	0.2548526322	15.05535869
8.166915052	17.75800064	7.835303239	8.166915052	0.2577492324	15.05534244
8.226527571	17.81217579	7.832080074	8.226527571	0.2556021289	15.05526241
8.286140089	17.80170027	7.82232556	8.286140089	0.2579668	15.0552703
8.345752608	17.80370993	7.830257045	8.345752608	0.257244939	15.05529795
8.405365127	17.83014706	7.830515098	8.405365127	0.2563567585	15.05518133
8.464977645	17.80175509	7.828006807	8.464977645	0.2535819021	15.05539022
8.524590164	17.78211943	7.837080108	8.524590164	0.2525704454	15.05521304
