SOLfas			SOLext		
t	x	y	t	x	y
3.0294734920	11.4565342200	10.9295587900	3.0294734920	38.9184371600	16.9910864200
3.0477233320	11.4496350000	10.9289602200	3.0477233320	38.9149643800	16.9909576000
3.0659731730	11.4070814100	10.9277232500	3.0659731730	38.9167113000	16.9905659600
3.0842230130	11.3847663000	10.9281849500	3.0842230130	38.9169858000	16.9904268900
3.1024728530	11.3759864700	10.9282889600	3.1024728530	38.9141924600	16.9902218800
3.1207226940	11.3565084500	10.9275578300	3.1207226940	38.9142453600	16.9899397400
3.1389725340	11.3486403300	10.9279047700	3.1389725340	38.9058091600	16.9887868900
3.1572223740	11.3389127800	10.9278962600	3.1572223740	38.8820015500	16.9888290700
3.1754722150	11.3364325800	10.9277543100	3.1754722150	38.8966071300	16.9883886800
3.1937220550	11.3295855100	10.9283810100	3.1937220550	38.8899980800	16.9884520600
3.2119718950	11.3408587500	10.9272124200	3.2119718950	38.8869240400	16.9883013400
3.2302217360	11.3429702900	10.9265507200	3.2302217360	38.8858879100	16.9884908500
3.2484715760	11.3358615700	10.9263422900	3.2484715760	38.8772931100	16.9891661400
3.2667214160	11.3225179100	10.9271306400	3.2667214160	38.8788019100	16.9891458100
3.2849712570	11.2989917100	10.9277343200	3.2849712570	38.8686181300	16.9892571000
3.3032210970	11.2403432800	10.9283174700	3.3032210970	38.8758389000	16.9890870800
3.3214709370	11.2229205700	10.9283312800	3.3214709370	38.8730732900	16.9888564800
3.3397207770	11.1977475100	10.9282783100	3.3397207770	38.8765097100	16.9887458200
3.3579706180	11.1744702300	10.9299002900	3.3579706180	38.8722102300	16.9882348300
3.3762204580	11.1492374400	10.9314991800	3.3762204580	38.8696882100	16.9889320200
3.3944702980	11.1345690300	10.9300316200	3.3944702980	38.8680120000	16.9887670000
3.4127201390	11.1090632200	10.9297012500	3.4127201390	38.8712768800	16.9881818900
3.4309699790	11.1096463200	10.9280497600	3.4309699790	38.8720828800	16.9885806000
3.4492198190	11.1090688300	10.9288257500	3.4492198190	38.8706434500	16.9883746700
3.4674696600	11.1137864000	10.9289826300	3.4674696600	38.8738330400	16.9884642600
3.4857195000	11.1052922800	10.9289924700	3.4857195000	38.8750095400	16.9885440500
3.5039693400	11.0964040000	10.9290094800	3.5039693400	38.8745663600	16.9882962300
3.5222191810	11.0972871100	10.9289447500	3.5222191810	38.8759595300	16.9886247700
3.5404690210	11.0981989300	10.9291595100	3.5404690210	38.8726308500	16.9887258500
3.5587188610	11.0901510000	10.9287592700	3.5587188610	38.8789107700	16.9885111500
3.5769687020	11.0931632800	10.9296987700	3.5769687020	38.8768893500	16.9882350000
3.5952185420	11.0949338300	10.9293928900	3.5952185420	38.8721262100	16.9885526500
3.6134683820	11.0963085700	10.9285047300	3.6134683820	38.8745164400	16.9883973900
3.6317182220	11.0760543900	10.9292986000	3.6317182220	38.8750939300	16.9883525600
3.6499680630	11.0765080800	10.9299645100	3.6499680630	38.8737447900	16.9889649200
3.6682179030	11.0779783100	10.9296691200	3.6682179030	38.8713903400	16.9890062700
3.6864677430	11.0693472600	10.9286284400	3.6864677430	38.8703838100	16.9883052400
3.7047175840	11.0490509200	10.9279375100	3.7047175840	38.8681064700	16.9894799200
3.7229674240	11.0463802700	10.9275838600	3.7229674240	38.8717230400	16.9890341200
3.7412172640	11.0446962100	10.9269154500	3.7412172640	38.8700059800	16.9891943700
3.7594671050	11.0426736500	10.9272321700	3.7594671050	38.8703892400	16.9892190400
3.7777169450	11.0353290900	10.9278274200	3.7777169450	38.8702656100	16.9888373500
3.7959667850	11.0342135100	10.9279024500	3.7959667850	38.8685486400	16.9882691200
3.8142166260	11.0287507400	10.9277250700	3.8142166260	38.8669935100	16.9886854500
3.8324664660	11.0249624900	10.9283493600	3.8324664660	38.8641061800	16.9879921200
3.8507163060	11.0086125600	10.9279872700	3.8507163060	38.8661133500	16.9872296900
3.8689661470	11.0005277600	10.9287587200	3.8689661470	38.8622683700	16.9872168300
