GMfasc			GMext		
t	x	y	t	x	y
16.92995529	9.818758369	0.112501507	16.92995529	-6.523612414	11.25935469
16.98956781	9.854521278	0.110735245	16.98956781	-6.526933142	11.25962289
17.04918033	9.879019779	0.113648509	17.04918033	-6.526587182	11.25874509
17.10879285	9.966549764	0.109951352	17.10879285	-6.52919093	11.25948627
17.16840537	10.01105498	0.10966668	17.16840537	-6.525672748	11.2594598
17.22801788	10.0749873	0.107320615	17.22801788	-6.525294476	11.2597562
17.2876304	10.07695285	0.108503657	17.2876304	-6.525454884	11.25927274
17.34724292	10.11565818	0.107799089	17.34724292	-6.525611271	11.25895679
17.40685544	10.17328408	0.102394455	17.40685544	-6.522790489	11.25905516
17.46646796	10.22558763	0.10067401	17.46646796	-6.517637872	11.25702019
17.52608048	10.26711627	0.098659116	17.52608048	-6.50955711	11.25715071
17.585693	10.26980193	0.098802406	17.585693	-6.50462229	11.2560111
17.64530551	10.31355161	0.094113683	17.64530551	-6.501581245	11.25544596
17.70491803	10.38761549	0.087598428	17.70491803	-6.457985248	11.24950874
17.76453055	10.40805442	0.08252796	17.76453055	-6.443983556	11.24902571
17.82414307	10.43958454	0.083088287	17.82414307	-6.418412302	11.24602557
17.88375559	10.44311341	0.085204624	17.88375559	-6.401993764	11.24533324
17.94336811	10.48651506	0.078636152	17.94336811	-6.381781801	11.24505513
18.00298063	10.53666618	0.071928092	18.00298063	-6.364665863	11.24422943
18.06259314	10.53216271	0.077207582	18.06259314	-6.364455393	11.2461472
18.12220566	10.58010234	0.07212711	18.12220566	-6.362543269	11.24347349
18.18181818	10.61800054	0.069734301	18.18181818	-6.352941978	11.24457871
18.2414307	10.65995544	0.069289256	18.2414307	-6.354588358	11.24779331
18.30104322	10.65943221	0.071022885	18.30104322	-6.358650664	11.24737768
18.36065574	10.69004352	0.066612463	18.36065574	-6.351130776	11.24805932
18.42026826	10.75957358	0.061036145	18.42026826	-6.344467149	11.24916429
18.47988077	10.78756318	0.05724755	18.47988077	-6.319884751	11.24920304
18.53949329	10.79533025	0.051954576	18.53949329	-6.31502103	11.24986913
18.59910581	10.82660792	0.047623286	18.59910581	-6.301123263	11.24845488
18.65871833	10.82697197	0.047219812	18.65871833	-6.299319689	11.24807281
18.71833085	10.8367426	0.049454924	18.71833085	-6.29902708	11.24832624
18.77794337	10.84514796	0.041823546	18.77794337	-6.299667301	11.25011783
18.83755589	10.87541218	0.039415997	18.83755589	-6.294550818	11.25077131
18.89716841	10.97575867	0.025843912	18.89716841	-6.288228307	11.24998179
18.95678092	10.99938036	0.026942091	18.95678092	-6.27843688	11.24558806
19.01639344	10.98723976	0.035180948	19.01639344	-6.29047344	11.25084437
19.07600596	10.9775932	0.035854901	19.07600596	-6.287651651	11.2460432
19.13561848	11.02586304	0.02826572	19.13561848	-6.281375979	11.24556909
19.195231	11.01123174	0.032268022	19.195231	-6.296988544	11.24786049
19.25484352	11.05195585	0.03362523	19.25484352	-6.285314396	11.24504711
19.31445604	11.04033529	0.033519548	19.31445604	-6.286006196	11.24569964
19.37406855	11.03747532	0.035291967	19.37406855	-6.285253145	11.246913
19.43368107	11.0347874	0.041946632	19.43368107	-6.285254602	11.2460684
19.49329359	11.05283387	0.042164276	19.49329359	-6.285910007	11.24457555
19.55290611	11.06390678	0.042253439	19.55290611	-6.288447915	11.24616873
19.61251863	11.08146686	0.040345646	19.61251863	-6.294823108	11.24654856
19.67213115	11.09846562	0.038364124	19.67213115	-6.291919836	11.24486289
19.73174367	11.12143891	0.036992051	19.73174367	-6.292159311	11.24483324
19.79135618	11.13387639	0.035483619	19.79135618	-6.293940634	11.24513484
19.8509687	11.17942365	0.03423694	19.8509687	-6.29084725	11.24509135
19.91058122	11.18388791	0.033764354	19.91058122	-6.291792343	11.24487778
19.97019374	11.2157137	0.025595676	19.97019374	-6.289221984	11.24392574
20.02980626	11.21121776	0.026763096	20.02980626	-6.287587215	11.2437889
20.08941878	11.20841606	0.028248113	20.08941878	-6.289997451	11.24456929
20.1490313	11.23636986	0.024296825	20.1490313	-6.292902315	11.24484843
20.20864382	11.24998505	0.022750994	20.20864382	-6.292331423	11.24470646
20.26825633	11.26431475	0.021688374	20.26825633	-6.29528065	11.24527391
20.32786885	11.27995254	0.024107154	20.32786885	-6.293086156	11.2451093
20.38748137	11.29613938	0.022049802	20.38748137	-6.292951093	11.24405068
20.44709389	11.28780709	0.023865844	20.44709389	-6.289478396	11.24389864
20.50670641	11.31492954	0.020202694	20.50670641	-6.291578981	11.24445225
20.56631893	11.39005716	0.010957831	20.56631893	-6.287075721	11.24402459
20.62593145	11.43651523	0.005229506	20.62593145	-6.284495256	11.24486415
20.68554396	11.421627	0.008268498	20.68554396	-6.286416445	11.24583362
20.74515648	11.44435367	0.00883651	20.74515648	-6.281501145	11.24579591
20.804769	11.47985598	0.010384188	20.804769	-6.287840735	11.24522261
20.86438152	11.49009475	0.009796132	20.86438152	-6.285986194	11.24432978
20.92399404	11.53899935	0.005551938	20.92399404	-6.289255512	11.24592047
20.98360656	11.54990385	0.004823916	20.98360656	-6.288390836	11.24478069
21.04321908	11.57856541	0.001050262	21.04321908	-6.289784454	11.24596885
21.10283159	11.58553437	-0.006523038	21.10283159	-6.291878684	11.24569903
21.16244411	11.57882853	-0.005869206	21.16244411	-6.290550347	11.24482813
21.22205663	11.5802093	0.001620486	21.22205663	-6.293390697	11.24574542
21.28166915	11.58533579	0.004191596	21.28166915	-6.294842926	11.24634613
21.34128167	11.59117633	-0.004910748	21.34128167	-6.2955636	11.24578906
21.40089419	11.61236349	-0.003907575	21.40089419	-6.29642257	11.24740453
21.46050671	11.64014234	-0.00011872	21.46050671	-6.297043833	11.24639283
21.52011923	11.64241551	0.001702597	21.52011923	-6.293818863	11.24690006
21.57973174	11.68114646	-0.010265088	21.57973174	-6.288950645	11.24558014
21.63934426	11.71967412	-0.014562653	21.63934426	-6.286422762	11.24619614
21.69895678	11.76722897	-0.037075329	21.69895678	-6.276777775	11.2510371
21.7585693	11.80445612	-0.037176436	21.7585693	-6.258145768	11.24874034
21.81818182	11.82668508	-0.029954394	21.81818182	-6.211858289	11.2461436
21.87779434	11.89811457	-0.043413737	21.87779434	-6.192062091	11.24588903
21.93740686	11.87754247	-0.026761166	21.93740686	-6.173503405	11.24338165
21.99701937	11.89203595	-0.025363789	21.99701937	-6.168235475	11.2409007
22.05663189	11.90219741	-0.030276859	22.05663189	-6.164540765	11.24409811
22.11624441	11.91914918	-0.038021732	22.11624441	-6.155377977	11.24299279
22.17585693	11.96432241	-0.02905527	22.17585693	-6.156317948	11.24302244
22.23546945	11.94362535	-0.02116955	22.23546945	-6.154967811	11.24180822
