SOLfasSLIDES			SOLext		
t	x	y	t	x	y
1.375157957	11.18511174	5.947286461	1.375157957	27.01787712	13.47515953
1.393741173	11.20247119	5.934426055	1.393741173	27.01674312	13.4720782
1.412324389	11.1908879	5.931476146	1.412324389	27.01474314	13.4722548
1.430907604	11.17316375	5.928410115	1.430907604	27.00554851	13.47349741
1.44949082	11.15970062	5.935152242	1.44949082	26.99874213	13.47884329
1.468074036	11.1399799	5.935227335	1.468074036	26.98276611	13.47720986
1.486657251	11.11212114	5.935586972	1.486657251	26.97940686	13.4763379
1.505240467	11.10182945	5.941071236	1.505240467	26.98418242	13.47638934
1.523823682	11.1008551	5.943184854	1.523823682	26.98026689	13.47608657
1.542406898	11.08990316	5.947430827	1.542406898	26.98015389	13.47661164
1.560990114	11.04837392	5.948902521	1.560990114	26.97474883	13.47823503
1.579573329	10.99046248	5.952923331	1.579573329	26.97145129	13.48249237
1.598156545	10.9386975	5.96170496	1.598156545	26.96562231	13.48422622
1.616739761	10.89422961	5.961520086	1.616739761	26.96400351	13.48480785
1.635322976	10.84976171	5.959911277	1.635322976	26.96498943	13.48730998
1.653906192	10.80719128	5.953616713	1.653906192	26.96798224	13.49250074
1.672489408	10.73374136	5.947151243	1.672489408	26.96690276	13.49679889
1.691072623	10.67287314	5.954142835	1.691072623	26.96712328	13.49761326
1.709655839	10.59213846	5.967011067	1.709655839	26.9603903	13.49507207
1.728239054	10.52469777	5.961936295	1.728239054	26.95061439	13.4960993
1.74682227	10.45924364	5.955733727	1.74682227	26.9498849	13.4961797
1.765405486	10.420881	5.954813246	1.765405486	26.94732254	13.49368409
1.783988701	10.46212489	5.939485846	1.783988701	26.94884946	13.49187436
1.802571917	10.39058693	5.937474915	1.802571917	26.94876586	13.48995725
1.821155133	10.29891556	5.936150851	1.821155133	26.94413021	13.4904436
1.839738348	10.26547934	5.930491088	1.839738348	26.94461359	13.48863524
1.858321564	10.16292279	5.922398936	1.858321564	26.94084944	13.48557908
1.87690478	10.11769823	5.924287007	1.87690478	26.93651484	13.48909226
1.895487995	10.07820451	5.930032338	1.895487995	26.93684829	13.4899668
1.914071211	10.04756459	5.937148502	1.914071211	26.93483669	13.49002673
1.932654427	10.03386889	5.939721326	1.932654427	26.93747842	13.48932708
1.951237642	9.980635533	5.945158852	1.951237642	26.93059037	13.48937693
1.969820858	9.921900948	5.948889586	1.969820858	26.92822503	13.49258991
1.988404073	9.853120653	5.946337451	1.988404073	26.8990411	13.50019896
2.006987289	9.81640712	5.946592392	2.006987289	26.8895062	13.50938741
2.025570505	9.744102377	5.948051728	2.025570505	26.88259248	13.51707737
2.04415372	9.697371522	5.948088199	2.04415372	26.87965069	13.52317472
2.062736936	9.648374174	5.94758705	2.062736936	26.87043884	13.52635539
2.081320152	9.630382415	5.948668755	2.081320152	26.87015127	13.52708057
