GMfas			GMext		
t	x	y	t	x	y
5.0951008650	1.5380209080	2.3884463940	5.0951008650	45.4097194400	11.6677624900
5.1181556200	1.2873550150	2.4184174860	5.1181556200	45.4094839800	11.6685701800
5.1412103750	1.2279782600	2.4253838050	5.1412103750	45.4115511700	11.6680084800
5.1642651300	1.2071640760	2.4244250400	5.1642651300	45.4091375600	11.6677218000
5.1873198850	1.1164140590	2.4327671970	5.1873198850	45.4108727600	11.6682974300
5.2103746400	0.9727182269	2.4491114570	5.2103746400	45.4106989600	11.6672586500
5.2334293950	0.9336210057	2.4576181410	5.2334293950	45.4114920800	11.6672235400
5.2564841500	0.9427117315	2.4613109630	5.2564841500	45.4101812300	11.6674675500
5.2795389050	0.8868008201	2.4612631390	5.2795389050	45.4110709100	11.6671748200
5.3025936600	0.7030469492	2.4843682140	5.3025936600	45.4096246000	11.6664604800
5.3256484150	0.7094985579	2.4858654190	5.3256484150	45.4107886400	11.6662910700
5.3487031700	0.6183618732	2.4942523720	5.3487031700	45.4093223000	11.6669966400
5.3717579250	0.5031066178	2.5020371440	5.3717579250	45.4092169700	11.6667258600
5.3948126800	0.4651021757	2.5090841990	5.3948126800	45.4096143200	11.6662956000
5.4178674350	0.4299022729	2.5121857860	5.4178674350	45.4102409300	11.6649233900
5.4409221900	0.4596209361	2.5096116810	5.4409221900	45.4087663600	11.6660381000
5.4639769450	0.3944662389	2.5172281430	5.4639769450	45.4107624000	11.6658805700
5.4870317000	0.2794768435	2.5240146500	5.4870317000	45.4099197500	11.6657338300
5.5100864550	0.2765875648	2.5282060380	5.5100864550	45.4096119200	11.6642044500
5.5331412100	0.2796181396	2.5286730460	5.5331412100	45.4102461100	11.6654455400
5.5561959650	0.2491841888	2.5343788970	5.5561959650	45.4092934300	11.6654310800
5.5792507200	0.1456910501	2.5379484890	5.5792507200	45.4087698700	11.6650388600
5.6023054760	0.1611922438	2.5431001540	5.6023054760	45.4081867900	11.6657310400
5.6253602310	0.1218550763	2.5482396330	5.6253602310	45.4089608600	11.6653519300
5.6484149860	0.0155844121	2.5552237540	5.6484149860	45.4082494600	11.6659708300
5.6714697410	-0.0026590855	2.5519693500	5.6714697410	45.4084444500	11.6649368500
5.6945244960	0.0245878342	2.5564143380	5.6945244960	45.4080299200	11.6645079600
5.7175792510	0.0223164370	2.5557222780	5.7175792510	45.4078700400	11.6650756600
5.7406340060	-0.0686149441	2.5626881860	5.7406340060	45.4081458800	11.6655830600
5.7636887610	-0.0208187555	2.5546023520	5.7636887610	45.4096836300	11.6645022700
5.7867435160	0.0857369684	2.5451417920	5.7867435160	45.4088958000	11.6648639000
5.8097982710	0.0575182647	2.5454197270	5.8097982710	45.4079392700	11.6656672700
5.8328530260	-0.0174470474	2.5501612280	5.8328530260	45.4090540400	11.6655671900
5.8559077810	-0.0166984065	2.5495196410	5.8559077810	45.4085088100	11.6653708900
5.8789625360	0.0065369767	2.5517171390	5.8789625360	45.4078193000	11.6647695200
5.9020172910	0.0863600119	2.5439332350	5.9020172910	45.4082566100	11.6648848300
5.9250720460	0.0983817790	2.5437111640	5.9250720460	45.4069521100	11.6653391600
5.9481268010	-0.0134393574	2.5341359900	5.9481268010	45.4076438700	11.6649335700
5.9711815560	-0.0107658912	2.5414642300	5.9711815560	45.4070306100	11.6651595400
5.9942363110	0.0724932272	2.5457636020	5.9942363110	45.4075887000	11.6647497200
6.0172910660	-0.0156930946	2.5463212560	6.0172910660	45.4045060300	11.6658401700
6.0403458210	-0.0465170366	2.5400667500	6.0403458210	45.4082777900	11.6652456000
6.0634005760	-0.0227819683	2.5344211130	6.0634005760	45.4068003900	11.6658083100
6.0864553310	0.0721632483	2.5397618110	6.0864553310	45.4068182700	11.6649161800
6.1095100860	-0.0114524366	2.5404048440	6.1095100860	45.4047383600	11.6661136500
6.1325648410	0.0813083299	2.5246539650	6.1325648410	45.4068119100	11.6642316300
6.1556195970	0.0888095709	2.5342763610	6.1556195970	45.4046367400	11.6654692300
6.1786743520	-0.0113610228	2.5308084320	6.1786743520	45.4056687600	11.6657228000
6.2017291070	0.0087455464	2.5174056770	6.2017291070	45.4059436800	11.6648665200
6.2247838620	0.0774146510	2.4950102010	6.2247838620	45.4054414100	11.6649768700
6.2478386170	0.1074876376	2.4946587410	6.2478386170	45.4040699600	11.6650996400
6.2708933720	0.0597015990	2.4865454890	6.2708933720	45.4065402200	11.6653718000
6.2939481270	0.0298478163	2.4853612110	6.2939481270	45.4050891900	11.6655370000
6.3170028820	0.1249925272	2.4570279970	6.3170028820	45.4064794200	11.6637466600
6.3400576370	0.2008163539	2.4570398530	6.3400576370	45.4037623400	11.6647840800
6.3631123920	0.1231062958	2.4664287200	6.3631123920	45.4032201200	11.6655660500
6.3861671470	0.0800130345	2.4525561420	6.3861671470	45.4052142100	11.6645175800
6.4092219020	0.1552389743	2.4514814470	6.4092219020	45.4046610100	11.6644081100
6.4322766570	0.2195648566	2.4447786960	6.4322766570	45.4038561600	11.6660358600
6.4553314120	0.2144773273	2.4483024970	6.4553314120	45.4030030100	11.6642770900
6.4783861670	0.1809041483	2.4511624760	6.4783861670	45.4036559000	11.6646425800
6.5014409220	0.1468748099	2.4386684580	6.5014409220	45.4054322000	11.6650254800
6.5244956770	0.2468110865	2.4179714090	6.5244956770	45.4033544300	11.6644669600
6.5475504320	0.2939316287	2.4091486220	6.5475504320	45.4029341000	11.6637448800
6.5706051870	0.2614347580	2.3955858170	6.5706051870	45.4028439700	11.6654185200
6.5936599420	0.2615454707	2.3822647210	6.5936599420	45.4041516500	11.6640628500
6.6167146970	0.4439016581	2.3665874920	6.6167146970	45.4021140400	11.6642169100
6.6397694520	0.3749504764	2.3759657480	6.6397694520	45.4024778100	11.6648788200
6.6628242070	0.2857184780	2.3754912390	6.6628242070	45.4013395400	11.6661879800
6.6858789630	0.2784957032	2.3593010350	6.6858789630	45.4040423000	11.6640850500
6.7089337180	0.3926254251	2.3554740530	6.7089337180	45.4034645900	11.6628334800
6.7319884730	0.4385570290	2.3555245320	6.7319884730	45.4023181100	11.6647498100
6.7550432280	0.3588010330	2.3556733420	6.7550432280	45.4017087600	11.6651654000
6.7780979830	0.4520569421	2.3142094840	6.7780979830	45.4030924400	11.6637889800
