GF_namemissing			GFext		
t	x	y	t	x	y
14.9738100700	-5.4595479440	6.2742476620	14.9738100700	24.8353657000	29.4006553000
15.0307447100	-5.4377000210	6.2664108580	15.0307447100	24.8329055500	29.4007522300
15.0876793400	-5.4269321730	6.2539246650	15.0876793400	24.8424001000	29.4017888500
15.1446139800	-5.4201067220	6.2536507740	15.1446139800	24.8426355200	29.4015405800
15.2015486200	-5.4128083400	6.2417946010	15.2015486200	24.8355745000	29.4050386000
15.2584832600	-5.4150967820	6.1807002940	15.2584832600	24.8396497100	29.4072709500
15.3154179000	-5.3988663260	6.1644892890	15.3154179000	24.8426381600	29.4049705300
15.3723525400	-5.4055015250	6.1520433040	15.3723525400	24.8471087600	29.4064962800
15.4292871800	-5.4180204340	6.1492795440	15.4292871800	24.8497248200	29.4060742500
15.4862218200	-5.4248512410	6.1368851560	15.4862218200	24.8473159000	29.4083736700
15.5431564600	-5.4508734470	6.1214041570	15.5431564600	24.8738247600	29.4107134100
15.6000911000	-5.4935866280	6.1179768730	15.6000911000	24.8540404200	29.4096537200
15.6570257300	-5.4733320480	6.1156458670	15.6570257300	24.8599539400	29.4120758700
15.7139603700	-5.4845259120	6.1043359510	15.7139603700	24.8338912900	29.4125429000
15.7708950100	-5.4992688010	6.0936593330	15.7708950100	24.8304618100	29.4151135000
15.8278296500	-5.5508863000	6.0344540910	15.8278296500	24.8367600600	29.4119499100
15.8847642900	-5.6020167910	6.0215870440	15.8847642900	24.8359802000	29.4113189800
15.9416989300	-5.6011148900	6.0002430680	15.9416989300	24.8443736100	29.4106483000
15.9986335700	-5.5919853260	5.9958797670	15.9986335700	24.8552138400	29.4104228400
16.0555682100	-5.6147117040	5.9967006960	16.0555682100	24.8675224200	29.4117473700
16.1125028500	-5.6271344370	5.9957953600	16.1125028500	24.8603934000	29.4104121800
16.1694374900	-5.6537423940	5.9624356070	16.1694374900	24.8516486100	29.4124823700
16.2263721200	-5.6549947890	5.9275026730	16.2263721200	24.8454478000	29.4139153100
16.2833067600	-5.6656651300	5.8861227250	16.2833067600	24.8601652300	29.4188337900
16.3402414000	-5.6724477650	5.8574093080	16.3402414000	24.8745023500	29.4224520100
16.3971760400	-5.6632705430	5.8370975880	16.3971760400	24.9111077600	29.4331176800
16.4541106800	-5.6551880580	5.8463219020	16.4541106800	24.9513281000	29.4354662900
16.5110453200	-5.6565967900	5.8419358830	16.5110453200	24.9679961700	29.4270921200
16.5679799600	-5.7031130580	5.7823666370	16.5679799600	24.9710264100	29.4252158800
16.6249146000	-5.7131552220	5.7619577920	16.6249146000	25.0223081900	29.4243076500
16.6818492400	-5.7037666640	5.7470190790	16.6818492400	25.0449076500	29.4188595500
16.7387838800	-5.7663971110	5.7401695660	16.7387838800	25.0848904900	29.4146955100
16.7957185200	-5.8174367480	5.7340195830	16.7957185200	25.0987459200	29.4129689200
16.8526531500	-5.8127924050	5.7280185890	16.8526531500	25.1025150100	29.4109746200
16.9095877900	-5.8727678740	5.7135605810	16.9095877900	25.0907024200	29.4045679800
16.9665224300	-5.9131860970	5.6736617330	16.9665224300	25.1006282600	29.4040971900
17.0234570700	-5.9336206020	5.6324527800	17.0234570700	25.0947617500	29.4007176900
17.0803917100	-5.9421645170	5.6177267770	17.0803917100	25.1092221400	29.3961790200
17.1373263500	-5.9407187250	5.6104847400	17.1373263500	25.0997683800	29.3994283000
17.1942609900	-5.9385380420	5.6073769200	17.1942609900	25.0875612200	29.3964506700
17.2511956300	-5.9477138150	5.6027635480	17.2511956300	25.0887036800	29.4041599600
17.3081302700	-5.9459658710	5.6059220720	17.3081302700	25.0805819100	29.3996068300
17.3650649100	-5.9327092550	5.5883438710	17.3650649100	25.0733992400	29.3979854100
17.4219995400	-5.9498691970	5.6003021330	17.4219995400	25.0748765700	29.3994727200
17.4789341800	-5.9406234760	5.6059535730	17.4789341800	25.0836170700	29.3992320900
17.5358688200	-5.9380926190	5.5929170070	17.5358688200	25.0796588800	29.3940444000
17.5928034600	-5.9419539980	5.5987801460	17.5928034600	25.0751493800	29.3992848800
17.6497381000	-5.9263889680	5.6100321720	17.6497381000	25.0919238300	29.3946657000
17.7066727400	-5.9316906140	5.5816419730	17.7066727400	25.0883970900	29.3994560500
17.7636073800	-5.9399888930	5.5726332820	17.7636073800	25.0623168100	29.4003396200
17.8205420200	-5.9626861370	5.5894032380	17.8205420200	25.0754421800	29.4045266900
17.8774766600	-5.9210392660	5.5584298300	17.8774766600	25.0675950900	29.4005607400
17.9344113000	-5.9693725110	5.5734485220	17.9344113000	25.0601854100	29.4073156500
17.9913459300	-5.9826953390	5.5788490690	17.9913459300	25.0569984100	29.4070055700
18.0482805700	-5.9312691450	5.5578619880	18.0482805700	25.0540368800	29.4087251100
18.1052152100	-5.9276047860	5.5725161330	18.1052152100	25.0593064400	29.4070625700
18.1621498500	-5.9452404820	5.5829556530	18.1621498500	25.0710271000	29.4084659300
18.2190844900	-5.9727566730	5.6026065010	18.2190844900	25.0698205700	29.4076341100
18.2760191300	-6.0009855470	5.5932381780	18.2760191300	25.0692193500	29.4074448800
18.3329537700	-6.0300479610	5.5922824690	18.3329537700	25.0580174900	29.4120031300
18.3898884100	-6.0068418360	5.5952725550	18.3898884100	25.0657975200	29.4132323900
