SOLfas2MM			SOLextMM		
t	x	y	t	x	y
4.872076754	-11.21666157	8.124085074	4.872076754	23.41489677	13.84818767
4.897061763	-11.16258695	8.123193198	4.897061763	23.42608192	13.87728753
4.922046772	-11.04568835	8.12130151	4.922046772	23.45995212	13.89368077
4.947031781	-11.04227648	8.117788866	4.947031781	23.47682541	13.88441116
4.97201679	-11.05164201	8.118462187	4.97201679	23.45654984	13.8784016
4.997001799	-10.9666794	8.116218825	4.997001799	23.47301191	13.89974941
5.021986808	-10.9460794	8.113198593	5.021986808	23.47164165	13.90618066
5.046971817	-10.95277691	8.112129121	5.046971817	23.46993829	13.89620562
5.071956826	-10.90044199	8.112760235	5.071956826	23.47737907	13.89446936
5.096941835	-10.85794294	8.099126331	5.096941835	23.5241828	13.88796188
5.121926844	-10.87754743	8.104080784	5.121926844	23.52279064	13.88473749
5.146911853	-10.88992447	8.104809085	5.146911853	23.51552501	13.8818462
5.171896862	-10.83450694	8.111321947	5.171896862	23.5093289	13.93140199
5.196881871	-10.75858254	8.109061957	5.196881871	23.55517857	13.95332834
5.22186688	-10.70851386	8.110310847	5.22186688	23.61798521	13.96021696
5.246851889	-10.74038433	8.105733436	5.246851889	23.59301793	13.96084202
5.271836898	-10.69297978	8.10799661	5.271836898	23.60730245	13.96109006
5.296821907	-10.62358135	8.117265666	5.296821907	23.62727164	13.97966157
5.321806916	-10.62358249	8.130231694	5.321806916	23.66184777	14.02803629
5.346791925	-10.62057863	8.12681171	5.346791925	23.68807928	14.06846054
5.371776934	-10.61380772	8.124777865	5.371776934	23.68756717	14.05042764
5.396761943	-10.61843861	8.131064841	5.396761943	23.67909095	14.04365145
5.421746952	-10.60660813	8.131437254	5.421746952	23.68498804	14.05009002
5.446731961	-10.60016428	8.130220786	5.446731961	23.69079189	14.05745483
5.47171697	-10.57821955	8.126015245	5.47171697	23.6896345	14.09745209
5.496701979	-10.60876972	8.108386371	5.496701979	23.7122466	13.98941876
5.521686988	-10.65477992	8.103686907	5.521686988	23.68666285	13.96930955
5.546671997	-10.73845537	8.094869655	5.546671997	23.6315659	13.9562651
5.571657006	-10.67052458	8.100902083	5.571657006	23.6465448	13.93804127
5.596642015	-10.63723599	8.102475583	5.596642015	23.65621721	13.95406465
5.621627024	-10.58533258	8.104197581	5.621627024	23.67082974	13.97093523
5.646612033	-10.54593462	8.098179657	5.646612033	23.69424131	13.94887303
5.671597042	-10.6429035	8.039030168	5.671597042	23.68634553	13.8329679
5.696582051	-10.68692446	8.034520519	5.696582051	23.65873775	13.80847456
5.72156706	-10.48225422	8.052790068	5.72156706	23.70603539	13.88470825
5.746552069	-10.38197774	8.047251716	5.746552069	23.80188313	13.90099652
5.771537078	-10.38713132	8.04214318	5.771537078	23.81164084	13.89979723
5.796522087	-10.44948304	8.041531298	5.796522087	23.79229546	13.89225908
5.821507096	-10.36720891	8.042378436	5.821507096	23.82532411	13.8854633
5.846492105	-10.33625009	8.042402939	5.846492105	23.82570217	13.89129804
5.871477114	-10.23008863	8.039302119	5.871477114	23.82106565	13.96434024
