SOLfas2BEST			SOLext					
t	x	y	t	x	y			
3.274132002	3.875685419	10.37771578	3.274132002	26.97626394	13.98131184			
3.297686908	3.823965602	10.38101883	3.297686908	26.97250248	13.98280441			
3.321241815	3.722910033	10.39902861	3.321241815	26.96595537	13.98329362			
3.344796721	3.706706938	10.39869859	3.344796721	26.96849538	13.98305611			
3.368351628	3.686216741	10.40278371	3.368351628	26.97288627	13.9820016			
3.391906534	3.673048095	10.4165683	3.391906534	26.97494327	13.98056711			
3.415461441	3.625817842	10.42114186	3.415461441	26.9778564	13.97847556			
3.439016347	3.559092128	10.42482191	3.439016347	26.97621232	13.97950074			
3.462571254	3.527447384	10.42984205	3.462571254	26.97409874	13.97996925			
3.48612616	3.527067604	10.4294142	3.48612616	26.97441488	13.97873675			
3.509681067	3.502407021	10.43102665	3.509681067	26.97417041	13.9795664			
3.533235973	3.432113731	10.43188292	3.533235973	26.98504216	13.9809232			
3.55679088	3.392351845	10.43258363	3.55679088	26.97317595	13.98154064			
3.580345786	3.379096277	10.4378535	3.580345786	26.97397747	13.9815776			
3.603900693	3.368258036	10.4414027	3.603900693	26.96682585	13.97925753			
3.627455599	3.243661383	10.45383263	3.627455599	26.9725392	13.98543688			
3.651010505	3.220771176	10.45361348	3.651010505	26.95790686	13.9824763			
3.674565412	3.156728019	10.45815404	3.674565412	26.93935828	13.98470765			
3.698120318	3.099740785	10.44985423	3.698120318	26.93503375	13.98133263			
3.721675225	3.025166939	10.45417382	3.721675225	26.92049378	13.98249428			
3.745230131	2.976229897	10.45084654	3.745230131	26.9107184	13.98436501			
3.768785038	2.796773296	10.4535037	3.768785038	26.89768078	13.98154984			
3.792339944	2.664171291	10.45343729	3.792339944	26.89496079	13.9788527			
3.815894851	2.501084855	10.44846158	3.815894851	26.88414006	13.97290545			
3.839449757	2.394911635	10.44971426	3.839449757	26.86387808	13.97616653			
3.863004664	2.265460613	10.44749071	3.863004664	26.85589125	13.97581996			
3.88655957	2.180511837	10.44273349	3.88655957	26.84679161	13.978594			
3.910114477	2.01915918	10.44709885	3.910114477	26.83167092	13.98339923			
3.933669383	1.870519615	10.44560667	3.933669383	26.82868227	13.9848006			
3.95722429	1.772307821	10.44233369	3.95722429	26.82275209	13.98642927			
3.980779196	1.614753768	10.43894453	3.980779196	26.81628997	13.98642549			
4.004334103	1.572091863	10.43823698	4.004334103	26.81319261	13.98562312			
4.027889009	1.448846775	10.43401942	4.027889009	26.81409989	13.98284236			
4.051443916	1.272959706	10.4402051	4.051443916	26.78116623	13.98141989			
4.074998822	1.257977254	10.4406868	4.074998822	26.77279933	13.97987293			
4.098553729	1.187410702	10.43700346	4.098553729	26.7724256	13.97845548			
4.122108635	1.128919271	10.43554658	4.122108635	26.76096734	13.97879623			
4.145663542	0.9507172172	10.43704377	4.145663542	26.73806396	13.97710445			
4.169218448	0.8817130609	10.44202227	4.169218448	26.73695586	13.97997237			
4.192773355	0.6243446954	10.43280016	4.192773355	26.70346677	13.98050007			
4.216328261	0.467991919	10.42375444	4.216328261	26.68832612	13.98065178			
4.239883168	0.3886571611	10.41987925	4.239883168	26.68487433	13.98040145			
4.263438074	0.1167436347	10.41946388	4.263438074	26.67232478	13.98872417			
4.286992981	-0.004355723018	10.41663934	4.286992981	26.65815254	13.98544991			
4.310547887	-0.08732994394	10.41708358	4.310547887	26.64425285	13.99200228			
4.334102794	-0.1969566762	10.42265241	4.334102794	26.6453786	13.99321886			
4.3576577	-0.5870569421	10.41504273	4.3576577	26.63668201	14.00302215			
4.381212607	-0.7275583812	10.42000637	4.381212607	26.63444641	13.99685195			
4.404767513	-1.215889583	10.39461812	4.404767513	26.60195811	14.00086972			
4.42832242	-1.416362506	10.37620444	4.42832242	26.57737033	13.99908718			
4.451877326	-1.6129252	10.37602548	4.451877326	26.55401004	13.99476206			
4.475432233	-1.895601695	10.38005187	4.475432233	26.50116785	14.01186477			
4.498987139	-2.069246054	10.36244051	4.498987139	26.45845057	14.00884933			
4.522542046	-2.174101552	10.35721893	4.522542046	26.45191897	14.00323755			
4.546096952	-2.285684791	10.34188933	4.546096952	26.44768877	14.00601702			
4.569651858	-2.3381258	10.34314257	4.569651858	26.45229859	14.00426733			
4.593206765	-2.707259833	10.32982806	4.593206765	26.4319504	13.99703304			
4.616761671	-2.882824214	10.31167049	4.616761671	26.40023753	13.98914013			
4.640316578	-3.049469627	10.33251572	4.640316578	26.38866065	13.98460902			
4.663871484	-3.236927761	10.33685751	4.663871484	26.38629553	13.98376481			
4.687426391	-3.380335152	10.34373939	4.687426391	26.37443449	13.99601213			
4.710981297	-3.675487737	10.35465858	4.710981297	26.35143786	14.00517303			
4.734536204	-3.844730826	10.35511608	4.734536204	26.31490309	14.00149465			
4.75809111	-3.978932248	10.35046078	4.75809111	26.30328309	14.00623701			
4.781646017	-4.178430991	10.35458152	4.781646017	26.31147216	13.99605178			
4.805200923	-4.487264352	10.345423	4.805200923	26.31780237	13.98550351			
4.82875583	-4.670840969	10.35169048	4.82875583	26.27087967	13.97662316			
4.852310736	-4.9559233	10.34660486	4.852310736	26.20242162	13.98064055			
4.875865643	-4.974245452	10.35088472	4.875865643	26.1928327	13.98152824			
4.899420549	-5.272503242	10.37913313	4.899420549	26.21208238	13.98488836			
4.922975456	-5.497536272	10.37710423	4.922975456	26.20821875	13.98212932			
4.946530362	-5.713268505	10.37245295	4.946530362	26.18676321	13.97676718			
4.970085269	-5.788859352	10.37485972	4.970085269	26.16941715	13.97575234			
4.993640175	-5.946307727	10.3985897	4.993640175	26.13463622	13.96473658			
5.017195082	-6.200438591	10.41178915	5.017195082	26.10186915	13.96893016			
5.040749988	-6.421276273	10.42452927	5.040749988	26.08557739	13.97570097			
5.064304895	-6.525882292	10.45126397	5.064304895	26.07620697	13.97816538			
5.087859801	-6.807347137	10.43477324	5.087859801	26.04646675	13.97617343			
5.111414708	-6.999784392	10.44130738	5.111414708	26.01672653	13.96175727			
5.134969614	-7.298807077	10.444422	5.134969614	25.92828872	13.93088839			
5.158524521	-7.364538748	10.45057373	5.158524521	25.94727837	13.91907141			
5.182079427	-7.501381725	10.44975241	5.182079427	25.92545094	13.91582587			
5.205634334	-7.752035813	10.4464967	5.205634334	25.85321035	13.91130457			
5.22918924	-7.819420014	10.44715508	5.22918924	25.84047494	13.91124439			
5.252744147	-8.065711207	10.43946884	5.252744147	25.76239599	13.91513555			
5.276299053	-8.221045094	10.42971337	5.276299053	25.71936083	13.91815212			
5.29985396	-8.49623014	10.43423447	5.29985396	25.67684369	13.91935338			
5.323408866	-8.66016015	10.44081747	5.323408866	25.64221844	13.91925586			
