GFsupBEST?			GFext		
t	x	y	t	x	y
8.952254642	22.03877112	21.0127558	8.952254642	3.225024885	24.5228263
9.007515473	22.05588573	21.01256921	9.007515473	3.211207161	24.52472911
9.062776304	22.05318159	21.01075599	9.062776304	3.224279822	24.52288708
9.118037135	22.06785246	21.00990121	9.118037135	3.230801876	24.52153967
9.173297966	22.07167755	21.00635925	9.173297966	3.248038935	24.52594235
9.228558798	22.06906575	21.00791806	9.228558798	3.253631588	24.52751384
9.283819629	22.07520055	21.01271102	9.283819629	3.273280903	24.52845765
9.33908046	22.09707621	21.01404486	9.33908046	3.273223638	24.53207294
9.394341291	22.06530276	21.01514399	9.394341291	3.287322949	24.53075293
9.449602122	22.06219606	21.01975075	9.449602122	3.300025872	24.5302209
9.504862953	22.05615985	21.0183584	9.504862953	3.299299524	24.53170153
9.560123784	22.05977806	21.01733771	9.560123784	3.292987903	24.53237905
9.615384615	22.06793363	21.01738071	9.615384615	3.295657294	24.53210646
9.670645447	22.06185105	21.01665689	9.670645447	3.296529158	24.53268121
9.725906278	22.06044394	21.01714744	9.725906278	3.299894706	24.53272771
9.781167109	22.06475583	21.01860187	9.781167109	3.301744923	24.53167568
9.83642794	22.06536427	21.0199155	9.83642794	3.308821225	24.53374909
9.891688771	22.06043603	21.01699087	9.891688771	3.288846233	24.53442421
9.946949602	22.06693582	21.01795159	9.946949602	3.302183597	24.5346772
10.00221043	22.07191147	21.01773072	10.00221043	3.303675245	24.53352635
10.05747126	22.07445698	21.01890169	10.05747126	3.312790072	24.53500169
10.1127321	22.07519619	21.01786007	10.1127321	3.310728595	24.5340381
10.16799293	22.11627206	21.01938201	10.16799293	3.311913556	24.53255559
10.22325376	22.15198529	21.02019817	10.22325376	3.31646498	24.53415822
10.27851459	22.12331044	21.02125102	10.27851459	3.308557391	24.53525517
10.33377542	22.1509944	21.02018143	10.33377542	3.311813468	24.53433951
10.38903625	22.13024045	21.01892516	10.38903625	3.3266133	24.53213876
10.44429708	22.09749025	21.01868266	10.44429708	3.312990576	24.53487326
10.49955791	22.10722331	21.01742706	10.49955791	3.319302957	24.53448097
10.55481874	22.13947994	21.018315	10.55481874	3.32110868	24.53552882
10.61007958	22.09282617	21.0181064	10.61007958	3.319698456	24.53393064
10.66534041	22.15383606	21.01651877	10.66534041	3.327282749	24.53496738
10.72060124	22.16741903	21.0183358	10.72060124	3.316388992	24.5365076
10.77586207	22.15230734	21.02118897	10.77586207	3.328157748	24.53511425
10.8311229	22.20801594	21.0209721	10.8311229	3.325308568	24.5347158
10.88638373	22.20764641	21.02019172	10.88638373	3.325565562	24.53596184
10.94164456	22.2057568	21.0207274	10.94164456	3.324203864	24.53613871
10.99690539	22.24933001	21.01950624	10.99690539	3.322622671	24.53566984
11.05216622	22.23308802	21.01936731	11.05216622	3.326213754	24.53820448
11.10742706	22.19395954	21.02158093	11.10742706	3.32627284	24.53667423
11.16268789	22.2125532	21.02226411	11.16268789	3.320227639	24.53657545
11.21794872	22.20989921	21.02135947	11.21794872	3.323927222	24.53839492
11.27320955	22.16607487	21.02230211	11.27320955	3.325851562	24.53679217
11.32847038	22.19394008	21.0265733	11.32847038	3.323385505	24.53654553
11.38373121	22.19343002	21.02673601	11.38373121	3.316855996	24.53755661
11.43899204	22.16437212	21.02758524	11.43899204	3.311098056	24.53837866
11.49425287	22.18673952	21.02375122	11.49425287	3.313120108	24.54061306
11.5495137	22.20057506	21.02464161	11.5495137	3.31571392	24.53977295
11.60477454	22.17139698	21.02524252	11.60477454	3.31223497	24.53852043
11.66003537	22.19471854	21.02482689	11.66003537	3.311037454	24.53860224
11.7152962	22.18831911	21.0260177	11.7152962	3.316274824	24.53980857
11.77055703	22.1777362	21.02696703	11.77055703	3.30833052	24.53979035
11.82581786	22.20130806	21.03018808	11.82581786	3.315740085	24.54059394
11.88107869	22.22821775	21.02910994	11.88107869	3.315712385	24.53950332
11.93633952	22.19004647	21.02784063	11.93633952	3.312873019	24.53983007
11.99160035	22.19463183	21.02848326	11.99160035	3.316919172	24.53960808
12.04686118	22.2637333	21.02767416	12.04686118	3.307758217	24.53927887
12.10212202	22.19457125	21.02985237	12.10212202	3.311636483	24.54006724
12.15738285	22.21907481	21.02686957	12.15738285	3.314353038	24.54055265
12.21264368	22.27517658	21.02914398	12.21264368	3.316354267	24.54050859
12.26790451	22.1970338	21.02546244	12.26790451	3.315465109	24.54088505
12.32316534	22.26964734	21.02382723	12.32316534	3.315911717	24.54119023
12.37842617	22.28943913	21.02693063	12.37842617	3.315829932	24.5401169
12.433687	22.22356225	21.02859201	12.433687	3.315721302	24.53917334
12.48894783	22.30567107	21.027937	12.48894783	3.314628439	24.54062978
12.54420866	22.29911828	21.02696061	12.54420866	3.320965599	24.53920741
12.5994695	22.26986825	21.02456382	12.5994695	3.320540776	24.54095385
12.65473033	22.30038806	21.02602439	12.65473033	3.315554775	24.54014821
12.70999116	22.31187403	21.02637737	12.70999116	3.317532168	24.54021154
12.76525199	22.2780525	21.02838137	12.76525199	3.322926736	24.53940771
12.82051282	22.3294303	21.0300471	12.82051282	3.328523065	24.5383003
12.87577365	22.36538572	21.03432335	12.87577365	3.328440613	24.53927189
12.93103448	22.34812563	21.03585751	12.93103448	3.316871008	24.53934981
12.98629531	22.36917522	21.03130102	12.98629531	3.321092475	24.54098809
13.04155615	22.40133326	21.0255728	13.04155615	3.321170696	24.53937876
13.09681698	22.37548838	21.02726105	13.09681698	3.318474245	24.53994001
13.15207781	22.40010479	21.02096848	13.15207781	3.314905791	24.53996943
13.20733864	22.39474016	21.01940517	13.20733864	3.320691832	24.54041198
13.26259947	22.35503302	21.01436644	13.26259947	3.318947127	24.54072258
13.3178603	22.37620245	21.0100791	13.3178603	3.319296741	24.54024977
13.37312113	22.36459178	21.0111521	13.37312113	3.325463977	24.53936854
13.42838196	22.32955376	21.00852012	13.42838196	3.320719427	24.53938568
13.48364279	22.31943509	21.01263264	13.48364279	3.319991503	24.53856201
13.53890363	22.35591292	21.01316826	13.53890363	3.326784272	24.5384834
13.59416446	22.34491301	21.01741626	13.59416446	3.327840069	24.53844136
13.64942529	22.31153612	21.01815542	13.64942529	3.322892114	24.53888818
13.70468612	22.35746535	21.01953562	13.70468612	3.325710823	24.53809748
13.75994695	22.34708765	21.02641995	13.75994695	3.322420336	24.53752679
13.81520778	22.30705933	21.02290079	13.81520778	3.32449179	24.53689649
13.87046861	22.36417193	21.0199311	13.87046861	3.319372704	24.5376118
13.92572944	22.35102642	21.01958695	13.92572944	3.318099159	24.5386724
13.98099027	22.27593384	21.01944018	13.98099027	3.318843811	24.5375008
14.03625111	22.36605969	21.01541421	14.03625111	3.318729271	24.53758481
14.09151194	22.35734359	21.01582624	14.09151194	3.317949622	24.5393532
14.14677277	22.27796241	21.02120921	14.14677277	3.321116243	24.53792282
14.2020336	22.37453438	21.01667975	14.2020336	3.321149271	24.53800292
14.25729443	22.36746256	21.01858474	14.25729443	3.327268063	24.53909185
14.31255526	22.27160985	21.01436027	14.31255526	3.32143627	24.5383056
14.36781609	22.34880989	21.00867053	14.36781609	3.313795972	24.53751359
14.42307692	22.34684087	21.00912918	14.42307692	3.321465402	24.53884319
14.47833775	22.25031858	21.00721183	14.47833775	3.324792218	24.53703918
14.53359859	22.30147615	20.9948391	14.53359859	3.319861995	24.53821635
14.58885942	22.29972141	20.98683713	14.58885942	3.318193256	24.53710957
14.64412025	22.23463967	20.98349241	14.64412025	3.32479805	24.53757425
14.69938108	22.25731924	20.97268596	14.69938108	3.32452184	24.53775074
14.75464191	22.2527788	20.98437226	14.75464191	3.329986752	24.53641651
14.80990274	22.19127426	20.97842228	14.80990274	3.322882565	24.53741651
14.86516357	22.23609192	20.97763074	14.86516357	3.323695997	24.53734543
14.9204244	22.24856506	20.97989793	14.9204244	3.326018407	24.53687705
14.97568523	22.19549602	20.98554446	14.97568523	3.331227164	24.53820411
15.03094607	22.25839774	20.98316926	15.03094607	3.331925513	24.53915413
15.0862069	22.28883746	20.98806074	15.0862069	3.333783448	24.53796845
15.14146773	22.26657547	20.99170468	15.14146773	3.338413347	24.53668813
15.19672856	22.31149131	20.99587511	15.19672856	3.336580589	24.53750658
15.25198939	22.29505988	20.99577262	15.25198939	3.334976789	24.5370573
15.30725022	22.28393551	20.99640355	15.30725022	3.329163538	24.5376161
15.36251105	22.27907464	20.99956824	15.36251105	3.327347001	24.53560933
15.41777188	22.26722404	21.00111609	15.41777188	3.327254103	24.5357399
15.47303271	22.27050553	21.00698967	15.47303271	3.347628	24.53539892
15.52829355	22.35117508	21.0088435	15.52829355	3.337240193	24.53551958
15.58355438	22.29131864	21.00718713	15.58355438	3.337900828	24.53477272
15.63881521	22.26870198	21.01252748	15.63881521	3.342012741	24.53683604
15.69407604	22.34041901	21.0082872	15.69407604	3.326985491	24.53781229
15.74933687	22.29284201	21.01124694	15.74933687	3.336927451	24.53552315
15.8045977	22.27912187	21.0113719	15.8045977	3.339386267	24.5358939
15.85985853	22.37078709	21.0122811	15.85985853	3.340769884	24.53465677
15.91511936	22.30899754	21.01472071	15.91511936	3.328945074	24.53599937
15.97038019	22.27619392	21.00681703	15.97038019	3.324259054	24.53667347
16.02564103	22.32937586	20.99867995	16.02564103	3.33757057	24.53453243
16.08090186	22.28979368	21.00951842	16.08090186	3.328535864	24.53411476
16.13616269	22.2636776	21.00642553	16.13616269	3.322980152	24.53673814
16.19142352	22.35934124	21.00294477	16.19142352	3.329246818	24.53584269
16.24668435	22.29173844	21.01294509	16.24668435	3.320964115	24.53637761
16.30194518	22.27673936	21.0128364	16.30194518	3.323599579	24.53554764
16.35720601	22.39634007	21.01106427	16.35720601	3.328944871	24.53677208
16.41246684	22.34625292	21.01153136	16.41246684	3.33086059	24.53647613
16.46772767	22.29777179	21.01590904	16.46772767	3.332185634	24.53633625
16.52298851	22.36858833	21.00910163	16.52298851	3.318641163	24.53754292
16.57824934	22.27630297	21.00813955	16.57824934	3.324777148	24.53716611
16.63351017	22.25489517	21.00403214	16.63351017	3.315855936	24.53758095
