GMfas1MMM			GMextMMM		
t	x	y	t	x	y
3.8898434520	8.4528412350	4.0850171720	3.8898434520	46.0770479000	8.8876956310
3.9137075220	8.3464597310	4.1082601860	3.9137075220	46.0774895600	8.8897586530
3.9375715920	8.2154831950	4.1270244300	3.9375715920	46.0750091600	8.8917401060
3.9614356620	8.0284515210	4.1168850560	3.9614356620	46.0757745600	8.9009134490
3.9852997330	7.8901605230	4.1138049550	3.9852997330	46.0773279700	8.9098615480
4.0091638030	7.8099019870	4.1237589650	4.0091638030	46.1011577300	8.9171508690
4.0330278730	7.7280296230	4.1342560600	4.0330278730	46.0976667000	8.9300891190
4.0568919430	7.6201058620	4.1464594860	4.0568919430	46.0931638300	8.9356993910
4.0807560140	7.4694246730	4.1675936970	4.0807560140	46.0890981900	8.9372825130
4.1046200840	7.4371506590	4.1872169150	4.1046200840	46.0904500100	8.9365809110
4.1284841540	7.4071738220	4.2005853970	4.1284841540	46.0858233800	8.9433031870
4.1523482250	7.3736731570	4.2006814730	4.1523482250	46.0869665800	8.9429661420
4.1762122950	7.2720410570	4.2122467520	4.1762122950	46.0829959300	8.9531780950
4.2000763650	7.2813058980	4.2178989280	4.2000763650	46.0824270400	8.9541036620
4.2239404350	7.2829564010	4.2276282070	4.2239404350	46.0855840500	8.9501132290
4.2478045060	7.1683642930	4.2465452350	4.2478045060	46.0891889000	8.9483378280
4.2716685760	7.1801096660	4.2455000420	4.2716685760	46.0913216500	8.9462672790
4.2955326460	7.2326929920	4.2388819050	4.2955326460	46.0936175800	8.9455893110
4.3193967160	7.3091841520	4.2332183420	4.3193967160	46.0956264800	8.9458867400
4.3432607870	7.3171525590	4.2157119950	4.3432607870	46.0937813000	8.9429255750
4.3671248570	7.2609426290	4.2189849400	4.3671248570	46.0938792800	8.9435251430
4.3909889270	7.1875160050	4.2271631590	4.3909889270	46.0952309400	8.9438204960
4.4148529970	7.1648514340	4.2330334560	4.4148529970	46.0963778900	8.9434853590
4.4387170680	7.1193966540	4.1940070970	4.4387170680	46.0924619700	8.9468323000
4.4625811380	7.0928862170	4.1920364170	4.4625811380	46.0911780100	8.9475469130
4.4864452080	6.9795151370	4.2033571940	4.4864452080	46.0910092700	8.9466810150
4.5103092780	6.8681979010	4.2174788640	4.5103092780	46.0912131300	8.9469759750
4.5341733490	6.7085535290	4.2355739820	4.5341733490	46.0896078200	8.9489885330
4.5580374190	6.6550037450	4.2388929360	4.5580374190	46.0888428000	8.9510119390
4.5819014890	6.3838886860	4.2496942960	4.5819014890	46.0818406200	8.9591904890
4.6057655590	6.2705344080	4.2620415910	4.6057655590	46.0784316900	8.9643253310
4.6296296300	6.0308230360	4.2837969750	4.6296296300	46.0710403100	8.9871198520
4.6534937000	5.9464216680	4.3016110990	4.6534937000	46.0730409700	8.9848996360
4.6773577700	5.7872225640	4.3286995110	4.6773577700	46.1044116900	8.9913761280
4.7012218400	5.5815093320	4.3671417870	4.7012218400	46.1031145300	9.0056114060
4.7250859110	5.5010652530	4.3788556420	4.7250859110	46.0972578600	9.0115597990
4.7489499810	5.3236004810	4.4141916460	4.7489499810	46.0861357300	9.0244889110
4.7728140510	5.2420244470	4.4327672320	4.7728140510	46.0835143900	9.0291864830
4.7966781210	5.0847398540	4.4531755650	4.7966781210	46.0780149700	9.0396924670
4.8205421920	4.9931888130	4.4752197580	4.8205421920	46.0794689500	9.0405637070
4.8444062620	4.8719173940	4.4971028800	4.8444062620	46.0754348700	9.0453183900
4.8682703320	4.8133622830	4.5130810710	4.8682703320	46.0741180600	9.0533380280
4.8921344020	4.7858357690	4.5195169480	4.8921344020	46.0768926900	9.0549817400
4.9159984730	4.5677203560	4.5460726800	4.9159984730	46.0746483000	9.0591188780
4.9398625430	4.4448009140	4.5631837910	4.9398625430	46.0743397600	9.0585607110
4.9637266130	4.3155265150	4.5932788810	4.9637266130	46.0982725700	9.0621346370
4.9875906830	4.2155225060	4.6029779540	4.9875906830	46.1025725300	9.0682572010
5.0114547540	4.1783266880	4.5846557530	5.0114547540	46.0980401700	9.0782675370
5.0353188240	4.1376556520	4.5801982880	5.0353188240	46.1000868000	9.0770372780
5.0591828940	4.0855249500	4.5845695820	5.0591828940	46.1042665200	9.0789065660
5.0830469640	3.9062674890	4.6023111320	5.0830469640	46.1001519100	9.0889416120
5.1069110350	3.6953345970	4.6380620630	5.1069110350	46.0975055700	9.0955707780
5.1307751050	3.6687904380	4.6474284690	5.1307751050	46.0971505400	9.0972439900
5.1546391750	3.5475728840	4.6659615490	5.1546391750	46.0925969200	9.1030261990
5.1785032460	3.4181292740	4.6887046770	5.1785032460	46.0909171400	9.1039860060
5.2023673160	3.2722858250	4.7173837560	5.2023673160	46.0928586200	9.1042305420
5.2262313860	3.2358309380	4.7236304570	5.2262313860	46.0959069200	9.1039125060
5.2500954560	3.1595001450	4.7382930640	5.2500954560	46.0994457000	9.1084263130
5.2739595270	3.0446778060	4.7593196170	5.2739595270	46.1002411000	9.1109091600
5.2978235970	2.9051519600	4.7857882820	5.2978235970	46.0991503300	9.1113178070
5.3216876670	2.6341912510	4.8260860510	5.3216876670	46.1017348800	9.1155879840
5.3455517370	2.5999797370	4.8343895070	5.3455517370	46.1019064900	9.1165888780
5.3694158080	2.4962935270	4.8498692750	5.3694158080	46.1042929100	9.1210010480
5.3932798780	2.2674666890	4.8804957340	5.3932798780	46.1030808100	9.1297940110
5.4171439480	2.2374714070	4.8917583580	5.4171439480	46.1038993400	9.1259125170
5.4410080180	2.1308096990	4.9128362330	5.4410080180	46.1288871100	9.1392439040
5.4648720890	2.1159584420	4.9211301610	5.4648720890	46.1249503200	9.1501880290
