GMfasMMM			GMext		
t	x	y	t	x	y
1.5648299860	22.3725149200	0.8487696393	1.5648299860	46.9791369600	13.2466932100
1.5832397500	22.2235222100	0.8694913786	1.5832397500	46.9796533200	13.2468996600
1.6016495150	21.8419266500	0.9123389083	1.6016495150	46.9778469200	13.2488935300
1.6200592790	21.5780912800	0.9403921096	1.6200592790	46.9777014400	13.2484748400
1.6384690440	21.3128885600	0.9724166074	1.6384690440	46.9781910800	13.2482934900
1.6568788090	21.1614314000	0.9828189083	1.6568788090	46.9773261800	13.2487349400
1.6752885730	20.8072163000	1.0087706090	1.6752885730	46.9775571500	13.2494714800
1.6936983380	20.3036659100	1.0741344540	1.6936983380	46.9775861600	13.2497057300
1.7121081020	20.0345451200	1.0757327010	1.7121081020	46.9780598800	13.2504015100
1.7305178670	19.8967416000	1.0536800610	1.7305178670	46.9775699500	13.2497667100
1.7489276310	19.8047496600	1.0523937640	1.7489276310	46.9779757900	13.2496402100
1.7673373960	19.2603199500	1.0922944670	1.7673373960	46.9777041500	13.2499695700
1.7857471600	18.9788280300	1.1355418550	1.7857471600	46.9768700100	13.2510398800
1.8041569250	18.8809588800	1.1445190780	1.8041569250	46.9765347200	13.2511186900
1.8225666890	18.6303423900	1.1728960330	1.8225666890	46.9800682100	13.2526528400
1.8409764540	18.4486699300	1.2040448700	1.8409764540	46.9769699700	13.2537127900
1.8593862180	18.1767279300	1.2507550510	1.8593862180	46.9770045700	13.2549806200
1.8777959830	17.9003794000	1.2959264350	1.8777959830	46.9768043700	13.2566922100
1.8962057480	17.8118472200	1.3244644530	1.8962057480	46.9783640300	13.2564769100
1.9146155120	17.6455904500	1.3630565530	1.9146155120	46.9803167900	13.2594292700
1.9330252770	17.4679848800	1.3949165270	1.9330252770	46.9796715800	13.2602254000
1.9514350410	17.2852025000	1.4324390730	1.9514350410	46.9817243100	13.2609028600
1.9698448060	17.1373634000	1.4783169950	1.9698448060	46.9830371300	13.2628397000
1.9882545700	17.0332894800	1.5153000320	1.9882545700	46.9837484800	13.2615961000
2.0066643350	16.9526685600	1.5358246770	2.0066643350	46.9850028600	13.2608444800
2.0250740990	16.9066255000	1.5731666600	2.0250740990	46.9846943100	13.2592810300
2.0434838640	16.8543354200	1.5966155660	2.0434838640	46.9840989700	13.2585413300
2.0618936280	16.7304440100	1.6205858520	2.0618936280	46.9842934500	13.2585928800
2.0803033930	16.5313096700	1.6637839400	2.0803033930	46.9850860400	13.2622091000
2.0987131570	16.4879548600	1.6737563310	2.0987131570	46.9858964500	13.2555566100
2.1171229220	16.3209142000	1.7086164190	2.1171229220	46.9838415900	13.2564773600
2.1355326870	16.2030120700	1.7327325830	2.1355326870	46.9898253400	13.2544914700
2.1539424510	16.0854807700	1.7619368700	2.1539424510	46.9894289400	13.2544811500
2.1723522160	15.9507068300	1.7961244300	2.1723522160	46.9898887000	13.2544616800
2.1907619800	15.9027309000	1.8175550490	2.1907619800	46.9930330500	13.2528525400
2.2091717450	15.8248112600	1.8506374350	2.2091717450	46.9918798500	13.2504085200
2.2275815090	15.7614241200	1.8575518380	2.2275815090	46.9952521800	13.2502160900
