 CALbump 			 CALext 		
 t 	 x 	 y 	 t 	 x 	 y 
 4.47607454 	 13.57790038 	 10.54924064 	 4.47607454 	 -15.09999509 	 13.54483741 
 4.49480288 	 13.57974180 	 10.55086576 	 4.49480288 	 -15.09861470 	 13.54552163 
 4.51353123 	 13.62257865 	 10.55382710 	 4.51353123 	 -15.07219487 	 13.54438355 
 4.53225958 	 13.62704535 	 10.55537477 	 4.53225958 	 -15.06597428 	 13.54782868 
 4.55098792 	 13.61867786 	 10.55437687 	 4.55098792 	 -15.07578019 	 13.54845589 
 4.56971627 	 13.58677189 	 10.55201333 	 4.56971627 	 -15.06415619 	 13.54447230 
 4.58844461 	 13.59702080 	 10.55499898 	 4.58844461 	 -15.05906827 	 13.54658657 
 4.60717296 	 13.60847693 	 10.55234441 	 4.60717296 	 -15.05332304 	 13.54516394 
 4.62590130 	 13.64395936 	 10.55457552 	 4.62590130 	 -15.05014295 	 13.54200770 
 4.64462965 	 13.63842182 	 10.55579820 	 4.64462965 	 -15.03912670 	 13.53823035 
 4.66335799 	 13.64081766 	 10.55487463 	 4.66335799 	 -15.04860059 	 13.54312588 
 4.68208634 	 13.62563996 	 10.55520099 	 4.68208634 	 -15.05683963 	 13.54586613 
 4.70081468 	 13.62242970 	 10.55569405 	 4.70081468 	 -15.05640778 	 13.54230623 
 4.71954303 	 13.61474331 	 10.55624109 	 4.71954303 	 -15.04393692 	 13.53309186 
 4.73827137 	 13.63337858 	 10.55667556 	 4.73827137 	 -15.04602981 	 13.53632365 
 4.75699972 	 13.63611049 	 10.55628264 	 4.75699972 	 -15.04860323 	 13.54333143 
 4.77572806 	 13.64240161 	 10.55606662 	 4.77572806 	 -15.04714614 	 13.54298764 
 4.79445641 	 13.63994241 	 10.55580095 	 4.79445641 	 -15.04856784 	 13.53926179 
 4.81318476 	 13.63859406 	 10.55569601 	 4.81318476 	 -15.03769099 	 13.53680732 
 4.83191310 	 13.64294360 	 10.55629060 	 4.83191310 	 -15.03384219 	 13.53752642 
 4.85064145 	 13.64410566 	 10.55614168 	 4.85064145 	 -15.03771212 	 13.53614596 
 4.86936979 	 13.62666628 	 10.55766925 	 4.86936979 	 -15.03527496 	 13.53527443 
 4.88809814 	 13.61707179 	 10.55808855 	 4.88809814 	 -15.02649296 	 13.53272440 
 4.90682648 	 13.61730621 	 10.55866434 	 4.90682648 	 -15.01762782 	 13.53071929 
 4.92555483 	 13.63322677 	 10.55799728 	 4.92555483 	 -15.02412902 	 13.53740751 
 4.94428317 	 13.65397518 	 10.55592350 	 4.94428317 	 -15.02614554 	 13.54606470 
 4.96301152 	 13.65830027 	 10.55543863 	 4.96301152 	 -15.03411233 	 13.54413269 
 4.98173986 	 13.64560360 	 10.55726859 	 4.98173986 	 -15.01262216 	 13.52536410 
 5.00046821 	 13.66018601 	 10.55699340 	 5.00046821 	 -14.98496535 	 13.52699280 
 5.01919655 	 13.66926873 	 10.55692119 	 5.01919655 	 -14.97775399 	 13.53521161 
 5.03792490 	 13.67705152 	 10.55592042 	 5.03792490 	 -14.98542486 	 13.54610924 
 5.05665325 	 13.68546403 	 10.55477108 	 5.05665325 	 -14.97748634 	 13.55042509 
 5.07538159 	 13.66671447 	 10.55581870 	 5.07538159 	 -14.97921938 	 13.54079453 
 5.09410994 	 13.65682072 	 10.55732404 	 5.09410994 	 -14.96631586 	 13.53595714 
 5.11283828 	 13.67859949 	 10.55526097 	 5.11283828 	 -14.95605504 	 13.54162212 
 5.13156663 	 13.73518260 	 10.55821492 	 5.13156663 	 -14.96314831 	 13.55734412 
 5.15029497 	 13.71505518 	 10.55742023 	 5.15029497 	 -14.97341414 	 13.55395315 
 5.16902332 	 13.68068240 	 10.55441998 	 5.16902332 	 -14.96960497 	 13.54155792 
 5.18775166 	 13.67672208 	 10.55443882 	 5.18775166 	 -14.96486659 	 13.54046006 
 5.20648001 	 13.67463357 	 10.55433416 	 5.20648001 	 -14.96679114 	 13.54223182 
 5.22520835 	 13.66949237 	 10.55556394 	 5.22520835 	 -14.96809241 	 13.54412787 
 5.24393670 	 13.67863718 	 10.55549075 	 5.24393670 	 -14.96674263 	 13.54626928 
 5.26266504 	 13.75943003 	 10.55612726 	 5.26266504 	 -14.96353106 	 13.54523716 
