GMfasBEST			GMextMMM		
t	x	y	t	x	y
3.8921520060	8.1761554320	3.4032432690	3.8921520060	45.5336591500	13.1936607800
3.9157408060	8.1387806510	3.4080180060	3.9157408060	45.5062150200	13.2069889900
3.9393296060	8.1036501080	3.4034255520	3.9393296060	45.4848911700	13.2185399900
3.9629184060	8.0035695220	3.4510289950	3.9629184060	45.4468233700	13.2224228600
3.9865072060	7.9390208490	3.4723460730	3.9865072060	45.4317031400	13.2245547200
4.0100960060	7.8947182280	3.4877614260	4.0100960060	45.4177166000	13.2287865000
4.0336848060	7.8647190450	3.5153800760	4.0336848060	45.4054911800	13.2333972100
4.0572736060	7.9932248050	3.4803002900	4.0572736060	45.4108797600	13.2277782700
4.0808624070	7.9709088240	3.5186216170	4.0808624070	45.4026997800	13.2340609500
4.1044512070	7.9755665500	3.5401461760	4.1044512070	45.3927993600	13.2310540200
4.1280400070	7.9198838510	3.5513839140	4.1280400070	45.3623746300	13.2390015800
4.1516288070	7.8643000960	3.5749577730	4.1516288070	45.3471538100	13.2457964800
4.1752176070	7.8182754610	3.5854837110	4.1752176070	45.3410440100	13.2475875100
4.1988064070	7.7454586310	3.6017433270	4.1988064070	45.3281462600	13.2537852700
4.2223952070	7.7463540990	3.5973084080	4.2223952070	45.3177673400	13.2518412100
4.2459840070	7.7268475490	3.6352151130	4.2459840070	45.2992854100	13.2543348300
4.2695728070	7.7100731460	3.6455576060	4.2695728070	45.2951042300	13.2531445400
4.2931616070	7.6770029830	3.6450572780	4.2931616070	45.2873051500	13.2542955800
4.3167504070	7.6139942650	3.6540979600	4.3167504070	45.2606612000	13.2583611100
4.3403392070	7.6727313500	3.6560653730	4.3403392070	45.2639538400	13.2543314200
4.3639280070	7.6904482820	3.6541240820	4.3639280070	45.2426878900	13.2492696200
4.3875168070	7.6528818350	3.6653205300	4.3875168070	45.2275484200	13.2521593600
4.4111056070	7.6397175770	3.6683015410	4.4111056070	45.2225794500	13.2524406700
4.4346944070	7.6658898410	3.6752869750	4.4346944070	45.2127672300	13.2521839600
4.4582832070	7.6562869590	3.6607141800	4.4582832070	45.1942614900	13.2588646700
4.4818720070	7.6552891470	3.6658774650	4.4818720070	45.1934145900	13.2590559900
4.5054608070	7.6251650200	3.6713182950	4.5054608070	45.1791464300	13.2628900700
4.5290496070	7.6411761030	3.6634821460	4.5290496070	45.1655740800	13.2627355100
4.5526384070	7.6349267080	3.6677709900	4.5526384070	45.1486196100	13.2664076500
4.5762272070	7.5963020030	3.6864069120	4.5762272070	45.1443215300	13.2651335800
4.5998160070	7.6402041720	3.6699780070	4.5998160070	45.1349844700	13.2693983700
4.6234048070	7.6784246840	3.6639040170	4.6234048070	45.1331085100	13.2694919600
4.6469936070	7.6360768250	3.6722729530	4.6469936070	45.1256009500	13.2701358700
4.6705824070	7.6120138570	3.6751169200	4.6705824070	45.1269342100	13.2701903300
4.6941712080	7.5495185610	3.6892572320	4.6941712080	45.1217622300	13.2714619300
4.7177600080	7.5435998590	3.6911437040	4.7177600080	45.1190651000	13.2706088300
4.7413488080	7.5324813040	3.6932968770	4.7413488080	45.1163416800	13.2718382000
4.7649376080	7.4171893820	3.7130890810	4.7649376080	45.1002734800	13.2774213200
4.7885264080	7.4417746480	3.7039150990	4.7885264080	45.0968235700	13.2729145400
4.8121152080	7.4573533560	3.7004002480	4.8121152080	45.0905433400	13.2734684000
4.8357040080	7.4292794240	3.7005088160	4.8357040080	45.0759672100	13.2785486800
4.8592928080	7.4492125880	3.7016684200	4.8592928080	45.0802793100	13.2728878000
4.8828816080	7.5765837010	3.6771613900	4.8828816080	45.0836717900	13.2669785500
4.9064704080	7.5858971070	3.6745424990	4.9064704080	45.0805928900	13.2674781000
4.9300592080	7.5735555300	3.6726318730	4.9300592080	45.0746660600	13.2718740800
4.9536480080	7.5368663490	3.6819497920	4.9536480080	45.0689324300	13.2721552400
4.9772368080	7.5261363460	3.6883952330	4.9772368080	45.0684274000	13.2717832400
5.0008256080	7.5467649730	3.6734892290	5.0008256080	45.0650087300	13.2739850700
5.0244144080	7.5698730540	3.6731829060	5.0244144080	45.0640565500	13.2683395000
5.0480032080	7.5597052020	3.6753098010	5.0480032080	45.0630090600	13.2707214800
5.0715920080	7.5340277890	3.6821641560	5.0715920080	45.0574751400	13.2726664700
5.0951808080	7.4889544830	3.6839058770	5.0951808080	45.0538866900	13.2738570300
5.1187696080	7.4885925210	3.6845097370	5.1187696080	45.0479725200	13.2784437100
5.1423584080	7.5406649410	3.6831599810	5.1423584080	45.0454131600	13.2797657700
5.1659472080	7.6017061230	3.6814139600	5.1659472080	45.0505869200	13.2735735900
5.1895360080	7.5912425110	3.6749426920	5.1895360080	45.0501965600	13.2735105000
5.2131248080	7.5384191480	3.6806904530	5.2131248080	45.0361777900	13.2827226300
5.2367136080	7.5524486250	3.6888980530	5.2367136080	45.0376286900	13.2802069200
5.2603024080	7.5067772710	3.6945521650	5.2603024080	45.0366752700	13.2814457400
