cm_A			cmCALext		
5.305514158	19.78250488	6.493752338	5.305514158	0.1558074739	14.64106772
5.365126677	19.7827916	6.497088462	5.365126677	0.1554880601	14.64109588
5.424739195	19.78515082	6.499112004	5.424739195	0.1529632716	14.64104972
5.484351714	19.77155274	6.499280095	5.484351714	0.1512671507	14.64119385
5.543964232	19.77226107	6.505442571	5.543964232	0.1515658902	14.64103411
5.603576751	19.77385638	6.510454012	5.603576751	0.1529557619	14.6411891
5.66318927	19.76544491	6.506299096	5.66318927	0.1523826094	14.64105841
5.722801788	19.7565219	6.501528819	5.722801788	0.1520997441	14.64127548
5.782414307	19.75239678	6.497699698	5.782414307	0.1502659566	14.64180977
5.842026826	19.75573017	6.495846338	5.842026826	0.1509231308	14.64130243
5.901639344	19.74123724	6.490563317	5.901639344	0.1513452522	14.64155232
5.961251863	19.70757004	6.487239421	5.961251863	0.1518173521	14.64190659
6.020864382	19.66122367	6.486416003	6.020864382	0.1510524251	14.64160532
6.0804769	19.64010534	6.480612708	6.0804769	0.1510232314	14.64175421
6.140089419	19.64152069	6.485345687	6.140089419	0.1454201533	14.64174975
6.199701937	19.64560796	6.484625992	6.199701937	0.1489431013	14.64167697
6.259314456	19.63653877	6.48354044	6.259314456	0.1482574531	14.64187333
6.318926975	19.61858803	6.474620893	6.318926975	0.1439489661	14.64163565
6.378539493	19.61559771	6.474280599	6.378539493	0.1459149414	14.64199067
6.438152012	19.62877275	6.476225835	6.438152012	0.1459878999	14.64196996
6.497764531	19.61967657	6.470886255	6.497764531	0.1483300183	14.64168563
6.557377049	19.61195224	6.476296856	6.557377049	0.1513417367	14.64134079
6.616989568	19.59710164	6.475585767	6.616989568	0.1502478553	14.64104832
6.676602086	19.59847618	6.477131842	6.676602086	0.1492108789	14.64092182
6.736214605	19.5785544	6.474430249	6.736214605	0.14901345	14.64120564
6.795827124	19.54572167	6.477410338	6.795827124	0.1494273528	14.64146558
6.855439642	19.53299942	6.469012037	6.855439642	0.1494023779	14.64089912
6.915052161	19.50754228	6.443828447	6.915052161	0.1531241856	14.64086477
6.97466468	19.45181138	6.436065477	6.97466468	0.1542349181	14.64100094
7.034277198	19.42092212	6.430144958	7.034277198	0.1552874474	14.64063072
7.093889717	19.39690069	6.406704191	7.093889717	0.1552563521	14.64078938
7.153502235	19.37559312	6.400821671	7.153502235	0.1530323126	14.64096047
7.213114754	19.38793611	6.40095246	7.213114754	0.1543198711	14.64038611
7.272727273	19.37122085	6.402270238	7.272727273	0.1539782808	14.64002418
7.332339791	19.36447227	6.404227751	7.332339791	0.1537417266	14.64021243
7.39195231	19.34147503	6.40113576	7.39195231	0.157761771	14.63996324
7.451564829	19.29491084	6.396465274	7.451564829	0.1543877631	14.64006984
7.511177347	19.24475881	6.389978005	7.511177347	0.1610510961	14.64003657
7.570789866	19.21545362	6.382688359	7.570789866	0.1587580487	14.6394587
7.630402385	19.20805143	6.382789671	7.630402385	0.1593626884	14.63986282
7.690014903	19.17385432	6.382714266	7.690014903	0.1602871183	14.63945719
7.749627422	19.16913074	6.386179675	7.749627422	0.1538600296	14.63983216
7.80923994	19.24461362	6.38839596	7.80923994	0.162262369	14.6370115
7.868852459	19.24972974	6.393443499	7.868852459	0.1627061062	14.6379955
7.928464978	19.26540093	6.395439404	7.928464978	0.1585987549	14.63907439
7.988077496	19.25753832	6.395527335	7.988077496	0.1586551323	14.63955486
8.047690015	19.2383603	6.391903452	8.047690015	0.1570106163	14.63920645
