CALins			CALext		
t	x	y	t	x	y
5.961251863	23.85284198	6.975604644	5.961251863000	-2.479738845000	14.676612580000
6.020864382	23.83723812	6.973477773	6.020864382000	-2.474340632000	14.675826950000
6.0804769	23.79711131	6.966613243	6.080476900000	-2.473502009000	14.678917070000
6.140089419	23.77690153	6.966205237	6.140089419000	-2.481699512000	14.683342410000
6.199701937	23.74719819	6.964368117	6.199701937000	-2.480977910000	14.686145150000
6.259314456	23.72341174	6.964019745	6.259314456000	-2.475297962000	14.681267530000
6.318926975	23.68691695	6.948402197	6.318926975000	-2.474873778000	14.682220890000
6.378539493	23.61664541	6.925942918	6.378539493000	-2.473563135000	14.681164360000
6.438152012	23.59827315	6.915992101	6.438152012000	-2.469847571000	14.688554710000
6.497764531	23.58720297	6.909752352	6.497764531000	-2.467830592000	14.693190860000
6.557377049	23.5667569	6.917039006	6.557377049000	-2.493646513000	14.700363360000
6.616989568	23.56709682	6.906981454	6.616989568000	-2.517672711000	14.704214210000
6.676602086	23.53366102	6.896665341	6.676602086000	-2.511338578000	14.692977530000
6.736214605	23.50134455	6.89531913	6.736214605000	-2.554802918000	14.701823480000
6.795827124	23.490086	6.894516286	6.795827124000	-2.570500106000	14.706028180000
6.855439642	23.48118269	6.894412548	6.855439642000	-2.548097427000	14.701469830000
6.915052161	23.45596402	6.8875883	6.915052161000	-2.548600192000	14.700813080000
6.97466468	23.44339312	6.90351193	6.974664680000	-2.553474852000	14.702596040000
7.034277198	23.432539	6.906316381	7.034277198000	-2.536465329000	14.702794600000
7.093889717	23.40693355	6.904607817	7.093889717000	-2.502937079000	14.701525570000
7.153502235	23.40999947	6.909912952	7.153502235000	-2.481336181000	14.715757690000
7.213114754	23.40092929	6.929231809	7.213114754000	-2.501453737000	14.717810340000
7.272727273	23.4235831	6.948966938	7.272727273000	-2.511931694000	14.712769450000
7.332339791	23.41267781	6.949142253	7.332339791000	-2.497590340000	14.706004060000
7.39195231	23.40008817	6.936933566	7.391952310000	-2.496671229000	14.707895050000
7.451564829	23.39377525	6.92600037	7.451564829000	-2.496895456000	14.708637990000
7.511177347	23.38438161	6.917885386	7.511177347000	-2.500147763000	14.708554900000
7.570789866	23.36927486	6.909289772	7.570789866000	-2.487910615000	14.709533460000
7.630402385	23.36359799	6.90655046	7.630402385000	-2.477619644000	14.703503110000
7.690014903	23.36612282	6.90554556	7.690014903000	-2.471928129000	14.700003010000
7.749627422	23.36571348	6.901970796	7.749627422000	-2.466659350000	14.703958140000
7.80923994	23.36154167	6.901131026	7.809239940000	-2.443624315000	14.700047150000
7.868852459	23.35908915	6.901887721	7.868852459000	-2.437095971000	14.699478490000
7.928464978	23.35703727	6.905231983	7.928464978000	-2.454332754000	14.704857190000
7.988077496	23.34431605	6.899945918	7.988077496000	-2.458076818000	14.700468580000
8.047690015	23.28594176	6.888166792	8.047690015000	-2.472958139000	14.698938030000
8.107302534	23.23668887	6.869363687	8.107302534000	-2.472501190000	14.700865490000
8.166915052	23.25851265	6.869837957	8.166915052000	-2.478274255000	14.701516740000
8.226527571	23.31694212	6.880350804	8.226527571000	-2.476620542000	14.699082620000
8.286140089	23.37321878	6.897443109	8.286140089000	-2.476308235000	14.695493880000
8.345752608	23.38762143	6.899241188	8.345752608000	-2.474487182000	14.696882240000
8.405365127	23.40281134	6.900346537	8.405365127000	-2.477505752000	14.697007690000
8.464977645	23.39299106	6.897726092	8.464977645000	-2.478752937000	14.692320440000
8.524590164	23.38489951	6.892581018	8.524590164000	-2.478959798000	14.693279910000
