GM fasc			Ext		
t	x	y	t	x	y
10.01490313	8.693801666	1.139110161	10.01490313	4.704755213	8.493394285
10.07451565	8.713819409	1.141279964	10.07451565	4.704908273	8.493152959
10.13412817	8.762895607	1.137061851	10.13412817	4.703179317	8.493578747
10.19374069	8.76179352	1.135902796	10.19374069	4.70393419	8.493536483
10.2533532	8.775633304	1.132755444	10.2533532	4.705276022	8.493299863
10.31296572	8.831222802	1.126616677	10.31296572	4.715467802	8.491055248
10.37257824	8.848500598	1.124758339	10.37257824	4.715669074	8.490704644
10.43219076	8.836950507	1.127167682	10.43219076	4.710351745	8.491024609
10.49180328	8.869407957	1.126492347	10.49180328	4.707855419	8.490756263
10.5514158	8.929167654	1.125405669	10.5514158	4.697909204	8.489364393
10.61102832	8.970713432	1.122406174	10.61102832	4.68568849	8.488799957
10.67064083	8.966034762	1.12176752	10.67064083	4.678741902	8.487332168
10.73025335	8.98274456	1.121622756	10.73025335	4.677558593	8.487702992
10.78986587	8.964387199	1.121890094	10.78986587	4.68242301	8.487977289
10.84947839	8.959763337	1.125553019	10.84947839	4.692251944	8.488224216
10.90909091	8.965078806	1.125973167	10.90909091	4.706646379	8.488158042
10.96870343	8.974330091	1.123442917	10.96870343	4.699615631	8.488757393
11.02831595	8.9767893	1.124007158	11.02831595	4.695803169	8.491455417
11.08792846	8.972016914	1.126399824	11.08792846	4.692551232	8.492252031
11.14754098	8.985783378	1.124714637	11.14754098	4.688034391	8.492656533
11.2071535	9.002409892	1.126988041	11.2071535	4.68804779	8.491858705
11.26676602	9.043581495	1.12572121	11.26676602	4.688193006	8.492873889
11.32637854	9.051851107	1.125127075	11.32637854	4.691393015	8.492852947
11.38599106	9.051860145	1.125316028	11.38599106	4.691179203	8.493920142
11.44560358	9.05868689	1.125816463	11.44560358	4.693817072	8.494104503
11.5052161	9.044049955	1.126871789	11.5052161	4.693546725	8.494395811
11.56482861	9.054083522	1.127989325	11.56482861	4.695273852	8.495439854
11.62444113	9.06512541	1.12587732	11.62444113	4.696669728	8.495523635
11.68405365	9.072661497	1.123900136	11.68405365	4.698359097	8.495682713
11.74366617	9.098411443	1.12247716	11.74366617	4.6982979	8.495819484
11.80327869	9.111251321	1.12232615	11.80327869	4.698820414	8.495654713
11.86289121	9.124138602	1.121562442	11.86289121	4.697805511	8.495676735
11.92250373	9.116096862	1.121177239	11.92250373	4.697170826	8.495460053
11.98211624	9.114563954	1.121235034	11.98211624	4.697181026	8.495041711
12.04172876	9.16025568	1.11860214	12.04172876	4.699230074	8.495146203
12.10134128	9.17721295	1.117184555	12.10134128	4.697806652	8.495072173
12.1609538	9.193101633	1.116775985	12.1609538	4.699634282	8.495276747
12.22056632	9.202150525	1.116107362	12.22056632	4.697316493	8.495407899
12.28017884	9.200244779	1.118525113	12.28017884	4.697983807	8.494946036
12.33979136	9.203444148	1.118400593	12.33979136	4.698570545	8.494943352
12.39940387	9.209884712	1.118036995	12.39940387	4.698061773	8.495171145
12.45901639	9.209494044	1.116834478	12.45901639	4.69836836	8.49534376
12.51862891	9.210822565	1.116574895	12.51862891	4.698785266	8.495324724
12.57824143	9.220605308	1.117154589	12.57824143	4.699870109	8.495008727
12.63785395	9.221751491	1.116906256	12.63785395	4.698845504	8.495311957
12.69746647	9.223589851	1.115138616	12.69746647	4.698526568	8.49523185
12.75707899	9.209556699	1.114699956	12.75707899	4.698318299	8.495232904
12.81669151	9.218366079	1.114336492	12.81669151	4.697504905	8.494887931
12.87630402	9.21926597	1.114526845	12.87630402	4.698356635	8.495539683
12.93591654	9.226133503	1.112827508	12.93591654	4.697453565	8.495220487
12.99552906	9.223730945	1.112778369	12.99552906	4.697874399	8.495237163
13.05514158	9.25502471	1.109955155	13.05514158	4.697547839	8.495108866
13.1147541	9.257124919	1.110199896	13.1147541	4.694989362	8.495144026
13.17436662	9.263915935	1.11087305	13.17436662	4.695831012	8.494601826
13.23397914	9.27253485	1.109848983	13.23397914	4.693096231	8.494302582
13.29359165	9.297854247	1.107387394	13.29359165	4.69392971	8.493531125
13.35320417	9.325364522	1.104679772	13.35320417	4.692015371	8.493085509
13.41281669	9.345098215	1.102659117	13.41281669	4.693178496	8.493030385
13.47242921	9.378002196	1.098963433	13.47242921	4.693241817	8.492047983
13.53204173	9.40554774	1.097545874	13.53204173	4.696723867	8.49330334
13.59165425	9.447885444	1.093107292	13.59165425	4.698046288	8.493268943
13.65126677	9.471094412	1.092454662	13.65126677	4.695754791	8.493435953
13.71087928	9.499313409	1.090839355	13.71087928	4.696568752	8.492834637
13.7704918	9.496540315	1.090846622	13.7704918	4.705650377	8.491618446
