FASC_Dist			mass_A		
t	x	y	t	x	y
3.76956034	10.44147531	0.00000000	3.76956034	50.39398245	0.00000000
3.78794844	10.31840078	0.00000000	3.78794844	50.39319015	0.00000000
3.80633654	10.18612026	0.00000000	3.80633654	50.39319644	0.00000000
3.82472464	10.06518168	0.00000000	3.82472464	50.39245530	0.00000000
3.84311274	10.02676596	0.00000000	3.84311274	50.39247890	0.00000000
3.86150084	9.88879318	0.00000000	3.86150084	50.39190489	0.00000000
3.87988894	9.76019795	0.00000000	3.87988894	50.39132639	0.00000000
3.89827704	9.68947129	0.00000000	3.89827704	50.39129457	0.00000000
3.91666513	9.67162636	0.00000000	3.91666513	50.39156978	0.00000000
3.93505323	9.59444661	0.00000000	3.93505323	50.39054744	0.00000000
3.95344133	9.51970171	0.00000000	3.95344133	50.39076334	0.00000000
3.97182943	9.43584104	0.00000000	3.97182943	50.39126298	0.00000000
3.99021753	9.35147126	0.00000000	3.99021753	50.39090304	0.00000000
4.00860563	9.30234235	0.00000000	4.00860563	50.39018415	0.00000000
4.02699373	9.25767787	0.00000000	4.02699373	50.38916056	0.00000000
4.04538183	9.22692938	0.00000000	4.04538183	50.38911582	0.00000000
4.06376993	9.19443413	0.00000000	4.06376993	50.39257897	0.00000000
4.08215803	9.12576197	0.00000000	4.08215803	50.39128175	0.00000000
4.10054613	9.09355637	0.00000000	4.10054613	50.39191030	0.00000000
4.11893423	9.06380747	0.00000000	4.11893423	50.39017844	0.00000000
4.13732233	9.05137943	0.00000000	4.13732233	50.39150386	0.00000000
4.15571042	9.03124097	0.00000000	4.15571042	50.39332565	0.00000000
4.17409852	9.01261947	0.00000000	4.17409852	50.39210173	0.00000000
4.19248662	9.01193948	0.00000000	4.19248662	50.39217176	0.00000000
4.21087472	9.01593042	0.00000000	4.21087472	50.39416786	0.00000000
4.22926282	9.00771547	0.00000000	4.22926282	50.39607231	0.00000000
4.24765092	8.99298990	0.00000000	4.24765092	50.39387151	0.00000000
4.26603902	8.99201130	0.00000000	4.26603902	50.39438526	0.00000000
4.28442712	8.99934268	0.00000000	4.28442712	50.39543412	0.00000000
4.30281522	8.96507677	0.00000000	4.30281522	50.39530462	0.00000000
4.32120332	8.90118537	0.00000000	4.32120332	50.39412970	0.00000000
4.33959142	8.87426606	0.00000000	4.33959142	50.39540133	0.00000000
4.35797952	8.87073700	0.00000000	4.35797952	50.39698165	0.00000000
4.37636762	8.85820635	0.00000000	4.37636762	50.39815101	0.00000000
4.39475571	8.81595540	0.00000000	4.39475571	50.39856719	0.00000000
4.41314381	8.76977543	0.00000000	4.41314381	50.39847186	0.00000000
4.43153191	8.73769503	0.00000000	4.43153191	50.39907717	0.00000000
4.44992001	8.71762960	0.00000000	4.44992001	50.39966457	0.00000000
4.46830811	8.72058214	0.00000000	4.46830811	50.40023177	0.00000000
4.48669621	8.73543235	0.00000000	4.48669621	50.40005635	0.00000000
4.50508431	8.73702850	0.00000000	4.50508431	50.40057997	0.00000000
4.52347241	8.72352465	0.00000000	4.52347241	50.40004104	0.00000000
4.54186051	8.72252257	0.00000000	4.54186051	50.39966653	0.00000000
4.56024861	8.72311129	0.00000000	4.56024861	50.40005027	0.00000000
4.57863671	8.71844181	0.00000000	4.57863671	50.40007497	0.00000000
4.59702481	8.72059624	0.00000000	4.59702481	50.40057244	0.00000000
4.61541291	8.72077867	0.00000000	4.61541291	50.39968010	0.00000000
4.63380100	8.72894821	0.00000000	4.63380100	50.39787403	0.00000000
4.65218910	8.73215493	0.00000000	4.65218910	50.39880611	0.00000000
4.67057720	8.73097274	0.00000000	4.67057720	50.39895791	0.00000000
4.68896530	8.72617231	0.00000000	4.68896530	50.39946453	0.00000000
4.70735340	8.71855721	0.00000000	4.70735340	50.39924693	0.00000000
4.72574150	8.71631932	0.00000000	4.72574150	50.40027408	0.00000000
4.74412960	8.71995417	0.00000000	4.74412960	50.40017149	0.00000000
4.76251770	8.72530286	0.00000000	4.76251770	50.40069332	0.00000000
4.78090580	8.72715595	0.00000000	4.78090580	50.40088120	0.00000000
4.79929390	8.73228805	0.00000000	4.79929390	50.39976754	0.00000000
4.81768200	8.73149182	0.00000000	4.81768200	50.40116965	0.00000000
4.83607010	8.72771585	0.00000000	4.83607010	50.40126811	0.00000000
4.85445820	8.72728942	0.00000000	4.85445820	50.40181376	0.00000000
4.87284629	8.72522972	0.00000000	4.87284629	50.40191832	0.00000000
4.89123439	8.72835154	0.00000000	4.89123439	50.40223027	0.00000000
4.90962249	8.73195317	0.00000000	4.90962249	50.40265466	0.00000000
4.92801059	8.73281461	0.00000000	4.92801059	50.40320378	0.00000000
4.94639869	8.72781816	0.00000000	4.94639869	50.40319410	0.00000000
4.96478679	8.72363596	0.00000000	4.96478679	50.40274523	0.00000000
4.98317489	8.72490370	0.00000000	4.98317489	50.40285692	0.00000000
5.00156299	8.73031975	0.00000000	5.00156299	50.40296115	0.00000000
5.01995109	8.72757000	0.00000000	5.01995109	50.40293790	0.00000000
5.03833919	8.72173246	y	5.03833919	50.40278781	0.00000000
5.05672729	8.71842436	0.00000000	5.05672729	50.40261777	0.00000000
5.07511539	8.72374146	0.00000000	5.07511539	50.40230024	0.00000000
5.09350349	8.73410688	0.00000000	5.09350349	50.40191740	0.00000000
5.11189158	8.73278864	0.00000000	5.11189158	50.40110004	0.00000000
5.13027968	8.72732117	0.00000000	5.13027968	50.40101160	0.00000000
5.14866778	8.72378591	0.00000000	5.14866778	50.40059257	0.00000000
5.16705588	8.72610956	0.00000000	5.16705588	50.40077782	0.00000000
5.18544398	8.73359530	0.00000000	5.18544398	50.40133536	0.00000000
5.20383208	8.75329024	0.00000000	5.20383208	50.40158334	0.00000000
5.22222018	8.75291949	0.00000000	5.22222018	50.40155899	0.00000000
5.24060828	8.73066620	0.00000000	5.24060828	50.40080985	0.00000000
