MTJ			mass_A		
t	x	y	t	x	y
3.65216944	17.35900017	0.00000000	3.65216944	48.54569250	0.00000000
3.67788894	17.35578679	0.00000000	3.67788894	48.54876260	0.00000000
3.70360845	17.23475798	0.00000000	3.70360845	48.54960651	0.00000000
3.72932795	17.04963176	0.00000000	3.72932795	48.54850850	0.00000000
3.75504745	16.98758224	0.00000000	3.75504745	48.55044089	0.00000000
3.78076696	16.84324403	0.00000000	3.78076696	48.55119518	0.00000000
3.80648646	16.75814098	0.00000000	3.80648646	48.54978795	0.00000000
3.83220596	16.57839814	0.00000000	3.83220596	48.54602722	0.00000000
3.85792547	16.60358342	0.00000000	3.85792547	48.54287840	0.00000000
3.88364497	16.61205291	0.00000000	3.88364497	48.54621992	0.00000000
3.90936447	16.57393165	0.00000000	3.90936447	48.54816287	0.00000000
3.93508397	16.47861496	0.00000000	3.93508397	48.54902476	0.00000000
3.96080348	16.45128368	0.00000000	3.96080348	48.55010124	0.00000000
3.98652298	16.35395147	0.00000000	3.98652298	48.55070650	0.00000000
4.01224248	16.27942381	0.00000000	4.01224248	48.55069936	0.00000000
4.03796199	16.17037992	0.00000000	4.03796199	48.55104079	0.00000000
4.06368149	16.13893048	0.00000000	4.06368149	48.55329325	0.00000000
4.08940099	16.15724143	0.00000000	4.08940099	48.55193786	0.00000000
4.11512050	16.13795087	0.00000000	4.11512050	48.54740995	0.00000000
4.14084000	16.09347728	0.00000000	4.14084000	48.55083240	0.00000000
4.16655950	16.02582994	0.00000000	4.16655950	48.55058395	0.00000000
4.19227901	15.96039243	0.00000000	4.19227901	48.54994848	0.00000000
4.21799851	15.94449065	0.00000000	4.21799851	48.55046374	0.00000000
4.24371801	15.89731029	0.00000000	4.24371801	48.55351730	0.00000000
4.26943751	15.85782182	0.00000000	4.26943751	48.55513521	0.00000000
4.29515702	15.84953763	0.00000000	4.29515702	48.55425805	0.00000000
4.32087652	15.84462299	0.00000000	4.32087652	48.55554646	0.00000000
4.34659602	15.78466162	0.00000000	4.34659602	48.55446739	0.00000000
4.37231553	15.70453819	0.00000000	4.37231553	48.55495472	0.00000000
4.39803503	15.66937655	0.00000000	4.39803503	48.55679066	0.00000000
4.42375453	15.65623292	0.00000000	4.42375453	48.55852091	0.00000000
4.44947404	15.64424742	0.00000000	4.44947404	48.55828648	0.00000000
4.47519354	15.63239845	0.00000000	4.47519354	48.55750227	0.00000000
4.50091304	15.54570213	0.00000000	4.50091304	48.55598335	0.00000000
4.52663255	15.39714343	0.00000000	4.52663255	48.55537022	0.00000000
4.55235205	15.34656854	0.00000000	4.55235205	48.55547865	0.00000000
4.57807155	15.30737395	0.00000000	4.57807155	48.55738001	0.00000000
4.60379106	15.27927684	0.00000000	4.60379106	48.55714202	0.00000000
4.62951056	15.22632466	0.00000000	4.62951056	48.55567875	0.00000000
4.65523006	15.12463399	0.00000000	4.65523006	48.55296047	0.00000000
4.68094956	15.07529241	0.00000000	4.68094956	48.55278604	0.00000000
4.70666907	14.96921699	0.00000000	4.70666907	48.55192925	0.00000000
4.73238857	14.89891410	0.00000000	4.73238857	48.55260621	0.00000000
4.75810807	14.81120123	0.00000000	4.75810807	48.55047795	0.00000000
4.78382758	14.79672540	0.00000000	4.78382758	48.55247779	0.00000000
4.80954708	14.77348205	0.00000000	4.80954708	48.55219899	0.00000000
4.83526658	14.73545978	0.00000000	4.83526658	48.55275235	0.00000000
4.86098609	14.62056818	0.00000000	4.86098609	48.55321818	0.00000000
4.88670559	14.56121995	0.00000000	4.88670559	48.55418885	0.00000000
4.91242509	14.49571838	0.00000000	4.91242509	48.55212079	0.00000000
4.93814460	14.39871068	0.00000000	4.93814460	48.55391806	0.00000000
4.96386410	14.36089007	0.00000000	4.96386410	48.55357739	0.00000000
4.98958360	14.27916250	0.00000000	4.98958360	48.55361167	0.00000000
5.01530310	14.21846708	0.00000000	5.01530310	48.55471535	0.00000000
5.04102261	14.19963282	0.00000000	5.04102261	48.55371721	0.00000000
5.06674211	14.22138969	0.00000000	5.06674211	48.55486402	0.00000000
5.09246161	14.25479754	0.00000000	5.09246161	48.55464650	0.00000000
5.11818112	14.23526871	0.00000000	5.11818112	48.55459740	0.00000000
5.14390062	14.20148155	0.00000000	5.14390062	48.55466654	0.00000000
5.16962012	14.18522032	0.00000000	5.16962012	48.55660208	0.00000000
5.19533963	14.17848119	0.00000000	5.19533963	48.55572640	0.00000000
5.22105913	14.19185144	0.00000000	5.22105913	48.55736765	0.00000000
5.24677863	14.17761490	0.00000000	5.24677863	48.55731016	0.00000000
5.27249814	14.11894375	0.00000000	5.27249814	48.55627001	0.00000000
5.29821764	14.04148041	0.00000000	5.29821764	48.55667012	0.00000000
5.32393714	14.01810811	0.00000000	5.32393714	48.55723433	0.00000000
5.34965665	14.02627527	0.00000000	5.34965665	48.55645922	0.00000000
5.37537615	13.99364485	0.00000000	5.37537615	48.55750700	0.00000000
5.40109565	13.92853080	0.00000000	5.40109565	48.55777288	0.00000000
5.42681515	13.93656486	0.00000000	5.42681515	48.55679337	0.00000000
5.45253466	13.98908449	0.00000000	5.45253466	48.55930705	0.00000000
5.47825416	14.00877873	0.00000000	5.47825416	48.55896971	0.00000000
5.50397366	13.98464034	0.00000000	5.50397366	48.55838815	0.00000000
5.52969317	13.99529335	0.00000000	5.52969317	48.55770507	0.00000000
5.55541267	13.99471202	0.00000000	5.55541267	48.55821237	0.00000000
5.58113217	13.93189216	0.00000000	5.58113217	48.55816000	0.00000000
5.60685168	13.91313428	0.00000000	5.60685168	48.55830894	0.00000000
5.63257118	13.87884982	0.00000000	5.63257118	48.55818373	0.00000000
5.65829068	13.83334379	0.00000000	5.65829068	48.55808135	0.00000000
5.68401019	13.83783646	0.00000000	5.68401019	48.55857230	0.00000000
5.70972969	13.84444286	0.00000000	5.70972969	48.55801554	0.00000000
5.73544919	13.84107538	0.00000000	5.73544919	48.55784880	0.00000000
5.76116869	13.84923917	0.00000000	5.76116869	48.55742013	0.00000000
5.78688820	13.85721180	0.00000000	5.78688820	48.55901947	0.00000000
5.81260770	13.84705497	0.00000000	5.81260770	48.55859203	0.00000000
5.83832720	13.82258105	0.00000000	5.83832720	48.55813418	0.00000000
5.86404671	13.79520294	0.00000000	5.86404671	48.55855682	0.00000000
5.88976621	13.79970196	0.00000000	5.88976621	48.55839375	0.00000000
5.91548571	13.80134312	0.00000000	5.91548571	48.55883589	0.00000000
5.94120522	13.80751586	0.00000000	5.94120522	48.55823192	0.00000000
5.96692472	13.79358924	0.00000000	5.96692472	48.55853369	0.00000000
5.99264422	13.79057330	0.00000000	5.99264422	48.55811402	0.00000000
6.01836373	13.79935115	0.00000000	6.01836373	48.55793557	0.00000000
6.04408323	13.83338843	0.00000000	6.04408323	48.55809261	0.00000000
6.06980273	13.96097005	0.00000000	6.06980273	48.55883175	0.00000000
6.09552224	14.01233272	0.00000000	6.09552224	48.55788809	0.00000000
6.12124174	14.17032244	0.00000000	6.12124174	48.55865002	0.00000000
6.14696124	14.24741887	0.00000000	6.14696124	48.55939654	0.00000000
6.17268074	14.33381783	0.00000000	6.17268074	48.55829015	0.00000000
6.19840025	14.89158691	0.00000000	6.19840025	48.55921915	0.00000000
6.22411975	15.10158156	0.00000000	6.22411975	48.55847360	0.00000000
6.24983925	15.44860434	0.00000000	6.24983925	48.56087614	0.00000000
6.27555876	15.96491057	0.00000000	6.27555876	48.56030591	0.00000000
6.30127826	16.32217838	0.00000000	6.30127826	48.56058711	0.00000000
6.32699776	17.02108536	0.00000000	6.32699776	48.56201969	0.00000000
6.35271727	18.02129376	0.00000000	6.35271727	48.57238743	0.00000000
6.37843677	18.32771124	0.00000000	6.37843677	48.57597946	0.00000000
6.40415627	19.16456329	0.00000000	6.40415627	48.59779809	0.00000000
6.42987578	19.27703046	0.00000000	6.42987578	48.62265726	0.00000000
6.45559528	19.59734315	0.00000000	6.45559528	48.63087551	0.00000000
6.48131478	19.93308052	0.00000000	6.48131478	48.65150690	0.00000000
6.50703428	20.37427856	0.00000000	6.50703428	48.64314982	0.00000000
6.53275379	20.97108720	0.00000000	6.53275379	48.61448381	0.00000000
6.55847329	21.26002139	0.00000000	6.55847329	48.62047715	0.00000000
6.58419279	21.75909221	0.00000000	6.58419279	48.62722350	0.00000000
6.60991230	21.92370386	0.00000000	6.60991230	48.62306229	0.00000000
6.63563180	22.34443610	0.00000000	6.63563180	48.62733102	0.00000000
6.66135130	22.81413205	0.00000000	6.66135130	48.62163374	0.00000000
6.68707081	23.29531017	0.00000000	6.68707081	48.62245632	0.00000000
6.71279031	24.02613343	0.00000000	6.71279031	48.62785513	0.00000000
6.73850981	24.81320750	0.00000000	6.73850981	48.61942121	0.00000000
6.76422932	25.01249321	0.00000000	6.76422932	48.61665665	0.00000000
6.78994882	25.39381935	0.00000000	6.78994882	48.62667505	0.00000000
6.81566832	26.02615332	0.00000000	6.81566832	48.59861234	0.00000000
6.84138782	26.14829592	0.00000000	6.84138782	48.60428674	0.00000000
6.86710733	26.33164111	0.00000000	6.86710733	48.60067998	0.00000000
6.89282683	26.75031185	0.00000000	6.89282683	48.60909345	0.00000000
6.91854633	27.65940926	0.00000000	6.91854633	48.62878375	0.00000000
6.94426584	27.87143773	0.00000000	6.94426584	48.63761751	0.00000000
6.96998534	28.63280570	0.00000000	6.96998534	48.71647791	0.00000000
