"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0.0507	52.1284	-0.0307164	1.38336	0.00406901	7.59264	0.173752	-9.58166	0.0598235	-1.08081	-12.665	-11.7493	-13.4275	-13.1225	-0.0398638	-63.4779		
0.0513	109.486	-0.0307164	3.51702	0.00406901	5.76955	-0.131421	-9.58166	0.0598235	-1.08695	-12.207	-11.5967	-13.2752	-12.665	-0.0404425	-63.7808		
0.052	126.293	-0.0307164	2.29779	0.00406901	4.54701	-0.131421	-7.44902	0.0598235	-1.08081	-12.3595	-11.7493	-13.1224	-12.665	-0.0406354	-63.9323		
0.0527	93.639	-0.0307164	1.07855	0.00406901	2.10192	-0.131421	-4.38715	0.0598235	-1.08081	-12.3595	-11.9019	-13.1224	-12.665	-0.0408926	-64.0837		
0.0533	56.3968	-0.0307164	1.38336	0.00406901	0.278826	-0.131421	-3.1685	0.0598235	-1.08081	-12.512	-11.7493	-13.1224	-12.8175	-0.041214	-64.0837		
0.054	37.5089	-0.0307164	1.68817	0.00406901	-0.943718	-0.131421	-1.64518	0.0598235	-1.08081	-12.3595	-11.5967	-12.9701	-12.8175	-0.0413426	-63.9323		
0.0547	25.2905	-0.0307164	1.68817	0.00406901	-4.31108	-0.131421	-0.121865	0.0598235	-1.08081	-12.512	-11.5967	-13.1224	-12.665	-0.0419856	-64.0837		
0.0553	22.2493	-0.0307164	1.68817	0.309245	-8.87953	-0.131421	-0.121865	0.0598235	-1.08695	-12.8175	-11.9019	-13.2752	-12.665	-0.0419856	-64.2352		
0.056	29.559	-0.0307164	2.29779	0.00406901	-11.6249	-0.131421	-0.121865	0.0598235	-1.08081	-12.512	-12.0545	-13.2752	-12.97	-0.0419856	-63.7808		
0.0567	33.5073	-0.0307164	2.9074	0.00406901	-11.9252	-0.131421	-0.121865	0.0598235	-1.08081	-12.512	-12.0545	-12.9701	-12.97	-0.0424357	-63.6294		
