mass_C			mass_A		
t	x	y	t	x	y
3.182849199	40.43818806	0	3.182849199	19.6522199	0
3.201141436	40.4344242	0	3.201141436	19.65081576	0
3.219433672	40.43408685	0	3.219433672	19.65138942	0
3.237725909	40.43700408	0	3.237725909	19.65417403	0
3.256018146	40.44031829	0	3.256018146	19.65538905	0
3.274310383	40.44591829	0	3.274310383	19.65715645	0
3.292602619	40.43819376	0	3.292602619	19.65309673	0
3.310894856	40.43762883	0	3.310894856	19.65468958	0
3.329187093	40.43813852	0	3.329187093	19.65354545	0
3.34747933	40.4353303	0	3.34747933	19.6533803	0
3.365771567	40.43749767	0	3.365771567	19.6526418	0
3.384063803	40.43975397	0	3.384063803	19.65314854	0
3.40235604	40.4458264	0	3.40235604	19.65588302	0
3.420648277	40.45444165	0	3.420648277	19.66353187	0
3.438940514	40.45699717	0	3.438940514	19.66167557	0
3.45723275	40.45215843	0	3.45723275	19.65782497	0
3.475524987	40.44349726	0	3.475524987	19.65524795	0
3.493817224	40.44240694	0	3.493817224	19.65356483	0
3.512109461	40.43897059	0	3.512109461	19.65137957	0
3.530401698	40.4356496	0	3.530401698	19.64961861	0
3.548693934	40.43312195	0	3.548693934	19.64659758	0
3.566986171	40.42820292	0	3.566986171	19.64294061	0
3.585278408	40.41047768	0	3.585278408	19.63898455	0
3.603570645	40.40735816	0	3.603570645	19.63796503	0
3.621862881	40.42090664	0	3.621862881	19.64179259	0
3.640155118	40.43249793	0	3.640155118	19.64566567	0
3.658447355	40.43708354	0	3.658447355	19.64970074	0
3.676739592	40.43865689	0	3.676739592	19.65188762	0
3.695031828	40.43932391	0	3.695031828	19.65261513	0
3.713324065	40.44061686	0	3.713324065	19.65488729	0
3.731616302	40.44440074	0	3.731616302	19.65592149	0
3.749908539	40.44570664	0	3.749908539	19.65547447	0
3.768200776	40.44429853	0	3.768200776	19.65348268	0
3.786493012	40.44404606	0	3.786493012	19.65332135	0
3.804785249	40.44382363	0	3.804785249	19.65140949	0
3.823077486	40.4397791	0	3.823077486	19.65182319	0
3.841369723	40.44039952	0	3.841369723	19.64712225	0
3.859661959	40.44052108	0	3.859661959	19.64760667	0
3.877954196	40.43934347	0	3.877954196	19.64605826	0
3.896246433	40.43939852	0	3.896246433	19.64426171	0
3.91453867	40.43985664	0	3.91453867	19.64567218	0
3.932830907	40.44058847	0	3.932830907	19.64649139	0
3.951123143	40.44388709	0	3.951123143	19.65018896	0
3.96941538	40.44232036	0	3.96941538	19.64736365	0
3.987707617	40.43974067	0	3.987707617	19.64508059	0
4.005999854	40.43685821	0	4.005999854	19.64444251	0
4.02429209	40.43671418	0	4.02429209	19.64628027	0
4.042584327	40.44087	0	4.042584327	19.64912995	0
4.060876564	40.44360827	0	4.060876564	19.65179149	0
4.079168801	40.44173951	0	4.079168801	19.65213851	0
4.097461038	40.44040299	0	4.097461038	19.65171061	0
4.115753274	40.44301723	0	4.115753274	19.65363321	0
4.134045511	40.44548078	0	4.134045511	19.65401027	0
4.152337748	40.44299126	0	4.152337748	19.65348259	0
4.170629985	40.43960711	0	4.170629985	19.65143652	0
4.188922221	40.43868317	0	4.188922221	19.65144374	0
