mass_B			mass_A		
t	x	y	t	x	y
5.6237863	33.0761058	0.0000000	5.6237863	12.8746004	0.0000000
5.6490051	33.0761152	0.0000000	5.6490051	12.8754743	0.0000000
5.6742239	33.0745270	0.0000000	5.6742239	12.8748743	0.0000000
5.6994427	33.0780276	0.0000000	5.6994427	12.8769243	0.0000000
5.7246614	33.0765454	0.0000000	5.7246614	12.8771287	0.0000000
5.7498802	33.0763303	0.0000000	5.7498802	12.8777540	0.0000000
5.7750990	33.0785860	0.0000000	5.7750990	12.8766035	0.0000000
5.8003178	33.0767436	0.0000000	5.8003178	12.8776850	0.0000000
5.8255365	33.0761131	0.0000000	5.8255365	12.8765171	0.0000000
5.8507553	33.0728614	0.0000000	5.8507553	12.8786588	0.0000000
5.8759741	33.0737352	0.0000000	5.8759741	12.8788022	0.0000000
5.9011928	33.0800363	0.0000000	5.9011928	12.8830237	0.0000000
5.9264116	33.0799236	0.0000000	5.9264116	12.8811744	0.0000000
5.9516304	33.0779253	0.0000000	5.9516304	12.8780324	0.0000000
5.9768492	33.0784147	0.0000000	5.9768492	12.8786647	0.0000000
6.0020679	33.0788629	0.0000000	6.0020679	12.8780991	0.0000000
6.0272867	33.0776901	0.0000000	6.0272867	12.8771657	0.0000000
6.0525055	33.0760549	0.0000000	6.0525055	12.8789813	0.0000000
6.0777243	33.0775450	0.0000000	6.0777243	12.8810072	0.0000000
6.1029430	33.0798635	0.0000000	6.1029430	12.8817736	0.0000000
6.1281618	33.0821783	0.0000000	6.1281618	12.8821231	0.0000000
6.1533806	33.0780631	0.0000000	6.1533806	12.8779097	0.0000000
6.1785993	33.0795892	0.0000000	6.1785993	12.8812589	0.0000000
6.2038181	33.1021537	0.0000000	6.2038181	12.8894303	0.0000000
6.2290369	33.0951129	0.0000000	6.2290369	12.8845835	0.0000000
6.2542557	33.1965620	0.0000000	6.2542557	12.9074329	0.0000000
6.2794744	33.2273972	0.0000000	6.2794744	12.9434522	0.0000000
6.3046932	33.3430965	0.0000000	6.3046932	12.9664079	0.0000000
6.3299120	33.5193877	0.0000000	6.3299120	12.9647188	0.0000000
6.3551308	33.5453799	0.0000000	6.3551308	12.9552833	0.0000000
6.3803495	33.7807995	0.0000000	6.3803495	12.9519153	0.0000000
6.4055683	33.8561729	0.0000000	6.4055683	12.9666172	0.0000000
6.4307871	34.0316523	0.0000000	6.4307871	12.9290826	0.0000000
6.4560059	34.0726098	0.0000000	6.4560059	12.9375604	0.0000000
6.4812246	34.2421427	0.0000000	6.4812246	12.9690923	0.0000000
6.5064434	34.5218715	0.0000000	6.5064434	12.9301463	0.0000000
6.5316622	34.8823619	0.0000000	6.5316622	12.9165445	0.0000000
6.5568809	35.0262359	0.0000000	6.5568809	12.9364830	0.0000000
6.5820997	35.2855005	0.0000000	6.5820997	12.9895845	0.0000000
6.6073185	35.6795265	0.0000000	6.6073185	13.1274568	0.0000000
6.6325373	35.7720765	0.0000000	6.6325373	13.1166323	0.0000000
6.6577560	35.7789780	0.0000000	6.6577560	13.1062902	0.0000000
6.6829748	35.8513610	0.0000000	6.6829748	13.1350064	0.0000000
6.7081936	36.1110228	0.0000000	6.7081936	13.1075086	0.0000000
6.7334124	36.2582362	0.0000000	6.7334124	13.0955827	0.0000000
6.7586311	36.3449752	0.0000000	6.7586311	13.0829282	0.0000000
6.7838499	36.3143111	0.0000000	6.7838499	13.0867160	0.0000000
6.8090687	36.3849489	0.0000000	6.8090687	13.1199906	0.0000000
6.8342874	36.5529286	0.0000000	6.8342874	13.1475475	0.0000000
6.8595062	36.5826924	0.0000000	6.8595062	13.1600197	0.0000000
6.8847250	36.5040498	0.0000000	6.8847250	13.1543802	0.0000000
6.9099438	36.4802587	0.0000000	6.9099438	13.1624666	0.0000000
6.9351625	36.4891983	0.0000000	6.9351625	13.1695227	0.0000000
6.9603813	36.6178129	0.0000000	6.9603813	13.2233043	0.0000000
