mass_C			extMMM		
t	x	y	t	x	y
3.6237354670	9.0530392490	-0.4799639817	3.6237354670	36.5787492100	5.1542133710
3.6489002970	9.0296107300	-0.4783114580	3.6489002970	36.5783439800	5.1538124220
3.6740651270	8.9375523090	-0.4783910221	3.6740651270	36.5745004100	5.1535823880
3.6992299560	8.9019979610	-0.4785019012	3.6992299560	36.5630062100	5.1524993740
3.7243947860	8.8142116830	-0.4785317574	3.7243947860	36.5376598100	5.1537593420
3.7495596150	8.7635897340	-0.4789466369	3.7495596150	36.5320246200	5.1524955860
3.7747244450	8.6979373960	-0.4781172868	3.7747244450	36.5258917600	5.1517625060
3.7998892750	8.6781221990	-0.4776484213	3.7998892750	36.5335936900	5.1519036130
3.8250541040	8.6541574720	-0.4760905115	3.8250541040	36.5393955400	5.1520030980
3.8502189340	8.6076572110	-0.4789148804	3.8502189340	36.5271638000	5.1533635050
3.8753837640	8.5930749850	-0.4776832878	3.8753837640	36.5272541300	5.1535864190
3.9005485930	8.5795082250	-0.4771094982	3.9005485930	36.5233110100	5.1537351550
3.9257134230	8.5463550630	-0.4788219492	3.9257134230	36.5313240400	5.1544948120
3.9508782530	8.5215605300	-0.4784839598	3.9508782530	36.5264110300	5.1550198160
3.9760430820	8.4931990710	-0.4770560384	3.9760430820	36.5280502400	5.1552191950
4.0012079120	8.4805464620	-0.4797994340	4.0012079120	36.5204299500	5.1554428730
4.0263727410	8.4528391980	-0.4789107703	4.0263727410	36.5272248200	5.1552219150
4.0515375710	8.4380224480	-0.4786549419	4.0515375710	36.5282154900	5.1559600040
4.0767024010	8.4257616720	-0.4776535891	4.0767024010	36.5217343000	5.1548642350
4.1018672300	8.3914164760	-0.4792514697	4.1018672300	36.5193532300	5.1548206340
4.1270320600	8.3333838720	-0.4798864801	4.1270320600	36.5187209100	5.1532915650
4.1521968900	8.2730741070	-0.4781160867	4.1521968900	36.5208508500	5.1518723830
4.1773617190	8.1936445030	-0.4793714904	4.1773617190	36.5209669800	5.1492374230
4.2025265490	8.1794288300	-0.4824705024	4.2025265490	36.5216974600	5.1487687690
4.2276913790	8.1436369570	-0.4801123072	4.2276913790	36.5184179400	5.1470826180
4.2528562080	8.1239648930	-0.4785103350	4.2528562080	36.5195390000	5.1471442310
4.2780210380	8.0987944870	-0.4808967984	4.2780210380	36.5238874700	5.1464235340
4.3031858670	8.0603113050	-0.4793936025	4.3031858670	36.5225916800	5.1465247650
4.3283506970	7.9744337660	-0.4797483604	4.3283506970	36.5402537500	5.1443799720
4.3535155270	7.8932575760	-0.4770735983	4.3535155270	36.5470132900	5.1448298450
4.3786803560	7.8493803950	-0.4793085908	4.3786803560	36.5555638900	5.1458000790
4.4038451860	7.7346185110	-0.4806293566	4.4038451860	36.5335783800	5.1476317460
4.4290100160	7.5444569790	-0.4756101982	4.4290100160	36.4873626700	5.1515124750
4.4541748450	7.4187211760	-0.4793928157	4.4541748450	36.4096405600	5.1522224630
4.4793396750	7.3626180810	-0.4732292112	4.4793396750	36.4200752900	5.1511073870
